no,when,eventtitle,openTime,closeTime,where,place,whom,what,who,phone,email,contact,fee,url,tag1,uid
24,2016/06/19,育児用品フリーマーケット,10:00:00,11:30:00,こどもみらいセンター（能登町）,,どなたでも,資源の有効活用と育児費用の軽減を図るため「育児用品フリーマーケット」を開催します。出店者も募集中！出店を希望される方はみらいセンターまで問い合わせ下さい。,こどもみらいセンター（能登町）,,,0768(62)1503,0,,,evt58ef8566375
25,2016/06/10,MamaCafe,10:30:00,12:00:00,こどもみらいセンター（能登町）,,未就園児とその保護者,皆さんでゆっくりとお茶を飲みながら、子育て中のお母さん同士の交流を楽しみましょう,こどもみらいセンター（能登町）,,,0768(62)1503,300,,,evt58ef8570607
26,2016/06/17,幼児安全法～熱中症の予防と対策について～,10:30:00,11:30:00,こどもみらいセンター（能登町）,,未就園児とその保護者,熱中症について正しい知識を身につけ、体調の変化に気をつけるとともに、周囲にも気を配り熱中症による健康被害を防ぎましょう！,こどもみらいセンター（能登町）,,,0768(62)1503,0,,,evt58ef8578404
27,2016/06/24,身体計測・手袋シアター,10:30:00,11:30:00,こどもみらいセンター（能登町）,,未就園児とその保護者,身体計測をします。計測後に手袋シアターも行います！母子手帳を持参下さい。,こどもみらいセンター（能登町）,,,0768(62)1503,0,,,evt58ef8583056
28,2016/06/30,ふれあい遊び～ベビーサインを使って遊ぼう！～,10:30:00,11:30:00,こどもみらいセンター（能登町）,,未就園児とその保護者,ベビーサインを使いながら歌ったり、お子さんと触れ合いながら遊びます♪,こどもみらいセンター（能登町）,,,0768(62)1503,0,,,evt58ef858b569
29,2016/06/28,七夕製作と飾り付け,09:15:00,17:30:00,こどもみらいセンター（能登町）,,どなたでも,七夕の短冊や飾りを作ります。7月7日まで随時受け付けしています。,こどもみらいセンター（能登町）,,,0768(62)1503,0,,,evt58ef8593316
30,2016/06/12,無料歯科検診と工作教室,10:00:00,12:00:00,こどもみらいセンター（能登町）,,幼児～小学生,無料歯科検診を開催します。歯科検診受診後に工作教室を行います。会場：コンセールのと　幼児：おえかききんちゃく袋　小学生：段ボール工作（うさぎ・ハムスター・クワガタ）又は麦わら帽子のブローチ　各定員10名,こどもみらいセンター（能登町）,,,0768(62)1503,0,,,evt58ef859c678
31,2016/06/04,サンドウィッチ作り,10:00:00,12:00:00,こどもみらいセンター（能登町）,,小学生,好きな具をサンドしてサンドウィッチ作りに挑戦！,こどもみらいセンター（能登町）,,,0768(62)1503,100,,,evt58ef85a4259
32,2016/06/09,踊り、歌遊び、育児相談、情報交換、園児との交流,10:00:00,11:00:00,認定こども園柳田保育所,,未就園児とその保護者,踊り、歌遊び、育児相談、情報交換、園児との交流,認定こども園柳田保育所,,,0768(76)0154,0,,null,evt58ef85ac452
33,2016/06/16,親子で散歩を楽しもう,10:30:00,11:30:00,認定こども園ひばり保育所,,未就園児とその保護者,親子で散歩を楽しもう,認定こども園ひばり保育所,,,0768(62)1502,0,,null,evt58ef85b5492
34,2016/06/16,からだを動かそう,10:30:00,11:30:00,認定こども園しらさぎ保育所,,未就園児とその保護者,からだを動かそう,認定こども園しらさぎ保育所,,,0768(62)0304,0,,null,evt58ef85bd750
35,2016/06/16,親子でふれあい遊びをしよう,10:30:00,11:30:00,認定こども園高倉保育所,,未就園児とその保護者,親子でふれあい遊びをしよう,認定こども園高倉保育所,,,0768(62)0670,0,,null,evt58ef85c8865
36,2016/06/16,遊戯室で遊ぼう,10:30:00,11:30:00,認定こども園上町保育所,,未就園児とその保護者,遊戯室で遊ぼう,認定こども園上町保育所,,,0768(76)0136,0,,null,evt58ef85d2980
37,2016/06/16,ボールで遊ぼう,10:30:00,11:30:00,認定こども園鵜川保育所,,未就園児とその保護者,ボールで遊ぼう,認定こども園鵜川保育所,,,0768(67)1623,0,,null,evt58ef85dd209
38,2016/07/07,手作りおもちゃで遊ぶ,10:00:00,11:00:00,認定こども園柳田保育所,,未就園児とその保護者,手作りおもちゃで遊びます。育児相談・情報交換・園児との交流もあります。,認定こども園柳田保育所,,,0768(76)0154,0,,null,evt58ef85e6410
39,2016/07/20,おみずじゃぶじゃぶ！,10:30:00,11:30:00,認定こども園鵜川保育所,,未就園児とその保護者,お水で遊びます。,認定こども園鵜川保育所,,,0768(67)1623,0,,null,evt58ef85ef770
40,2016/07/06,おまつりごっこに参加しよう（町内まわり）,10:30:00,11:20:00,認定こども園ひばり保育所,,未就園児とその保護者,園のおまつりごっこに一緒に参加しましょう,認定こども園ひばり保育所,,,0768(62)1502,0,,null,evt58ef85f6452
41,2016/07/28,水遊び,10:30:00,11:20:00,認定こども園しらさぎ保育所,,未就園児とその保護者,みんなで水遊びをします,認定こども園しらさぎ保育所,,,0768(62)0304,0,,null,evt58ef85fe811
42,2016/07/21,親子でふれあい遊びをしよう,10:30:00,11:30:00,認定こども園上町保育所,,未就園児とその保護者,親子でふれあい遊びをしましょう♪,認定こども園上町保育所,,,0768(76)0136,0,,null,evt58ef8606491
43,2016/07/21,作ってあそぼう,10:30:00,11:30:00,認定こども園高倉保育所,,未就園児とその保護者,みんなで工作をします,認定こども園高倉保育所,,,0768(62)0670,0,,null,evt58ef860e619
44,2016/07/08,お魚をさばいてみよう！,10:30:00,12:00:00,こどもみらいセンター（能登町）,,未就園児とその保護者,お魚が美味しい能登！美味しく調理できるようになろう♪要予約（定員10名）,こどもみらいセンター（能登町）,,,0768(62)1503,100,,null,evt58ef8617207
45,2016/07/08,身体計測・エプロンシアター,10:30:00,11:30:00,こどもみらいセンター（能登町）,,未就園児とその保護者,身体計測をします。終了後にエプロンシアターもしますのでお楽しみに！母子手帳をお持ち下さい。,こどもみらいセンター（能登町）,,,0768(62)1503,0,,null,evt58ef861e499
46,2016/07/19,赤ちゃん撮影会,10:30:00,12:00:00,こどもみらいセンター（能登町）,,未就園児とその保護者,みらいセンター支援ルームにて撮影会をします。各自のカメラやデジカメでお子さんを撮影してみましょう！講師：橋本　博美　各自撮影機器をお持ちください。,こどもみらいセンター（能登町）,,,0768(62)1503,0,,null,evt58ef8626122
47,2016/07/26,プール開き,10:30:00,12:00:00,こどもみらいセンター（能登町）,,未就園児とその保護者,みんなで水遊びをします。プール開きもします！　持ち物：水着・水遊び用オムツ・タオル,こどもみらいセンター（能登町）,,,0768(62)1503,0,,null,evt58ef862d048
48,2016/07/27,プール遊び,10:30:00,12:00:00,こどもみらいセンター（能登町）,,未就園児とその保護者,みんなでプール遊びをしましょう！持ち物：水着・水遊び用オムツ・タオル,こどもみらいセンター（能登町）,,,0768(62)1503,0,,null,evt58ef8635844
49,2016/07/28,プール遊び,10:30:00,12:00:00,こどもみらいセンター（能登町）,,未就園児とその保護者,みんなでプール遊びをしましょう！　持ち物：水着・水遊び用オムツ・タオル,未収園児とその保護者,,,0768(62)1503,0,,null,evt58ef863d681
50,2016/07/29,Mama　Cafe,10:30:00,12:00:00,こどもみらいセンター（能登町）,,未就園児とその保護者,みんなでお茶をしながらお喋りしましょう！子育てアプリの開発体験もできます♪　要予約・定員10名　,こどもみらいセンター（能登町）,,,0768(62)1503,300,,null,evt58ef8645511
51,2016/07/10,こどもクッキング「ふんわりバナナオムレット」,10:00:00,12:00:00,こどもみらいセンター（能登町）,,小学生,美味しいバナナオムレットを作ります。持ち物：エプロン・三角巾・マスク・,こどもみらいセンター（能登町）,,,0768(62)1503,100,,null,evt58ef864d777
52,2016/07/13,オセロ大会,14:30:00,15:30:00,こどもみらいセンター（能登町）,,小学生,みんなでオセロをして楽しみましょう♪,こどもみらいセンター（能登町）,,,0768(62)1503,0,,null,evt58ef8654736
53,2016/07/26,ジュニアボランティア「町内清掃」,10:00:00,11:00:00,こどもみらいセンター（能登町）,,小学生,みんなの町をみんなできれいにしよう！,こどもみらいセンター（能登町）,,,0768(62)1503,0,,null,evt58ef865c462
54,2016/07/27,ジュニアボランティア「町内清掃」,10:00:00,11:00:00,こどもみらいセンター（能登町）,,小学生,みんなの町をみんなできれいにしよう！,こどもみらいセンター（能登町）,,,0768(62)1503,0,,null,evt58ef8666370
55,2016/07/29,ノーム劇場「おまえうまそうだな」,15:30:00,16:30:00,こどもみらいセンター（能登町）,,未就園児～一般,みんなで観賞しましょう♪,こどもみらいセンター（能登町）,,,0768(62)1503,0,,baby,
56,2016/07/01,七夕製作と飾り付け,09:15:00,17:30:00,こどもみらいセンター（能登町）,,未就園児～一般,七夕の製作・飾り付けをします。７日まで終日受け付けしています。気軽に参加してね♪,こどもみらいセンター（能登町）,,,0768(62)1503,0,,baby,
57,2016/08/02,おみず・ジャブジャブ,10:30:00,12:00:00,こどもみらいセンター（能登町）,,未就園児とその保護者,みんなでお水遊びをしましょう♪　持ち物：タオル・水着・プール用紙おむつ,こどもみらいセンター（能登町）,,,0768(62)1503,0,,baby,
58,2016/08/03,おみず・ジャブジャブ,10:30:00,12:00:00,こどもみらいセンター（能登町）,,未就園児とその保護者,みんなでお水遊びをしましょう♪　持ち物：タオル・水着・プール用紙おむつ,こどもみらいセンター（能登町）,,,0768(62)1503,0,,baby,
59,2016/08/04,おみず・ジャブジャブ,10:30:00,12:00:00,こどもみらいセンター（能登町）,,未就園児とその保護者,みんなでお水遊びをしましょう♪　持ち物：タオル・水着・プール用紙おむつ,こどもみらいセンター（能登町）,,,0768(62)1503,0,,baby,
60,2016/08/05,おみず・ジャブジャブ,10:30:00,12:00:00,こどもみらいセンター（能登町）,,未就園児とその保護者,みんなでお水遊びをしましょう♪　持ち物：タオル・水着・プール用紙おむつ,こどもみらいセンター（能登町）,,,0768(62)1503,0,,baby,
61,2016/08/05,夏祭りの夕べ（盆踊り・夜店・花火など）,18:30:00,20:00:00,認定こども園柳田保育所,,未就園児とその保護者,夏祭りをしてみんなで楽しみましょう♪,認定こども園柳田保育所,,,0768(76)0154,0,,baby,
62,2016/08/18,夏の遊びを楽しむ！,10:30:00,11:30:00,認定こども園鵜川保育所,,未就園児とその保護者,夏にちなんだ遊びをして楽しみます♪,認定こども園鵜川保育所,,,0768(67)1623,0,,baby,
63,2016/08/18,水遊びを楽しもう！,10:30:00,11:20:00,認定こども園ひばり保育所,,未就園児とその保護者,夏限定の水遊びを楽しみましょう♪,認定こども園ひばり保育所,,,0768(62)1502,0,,baby,
64,2016/08/18,楽しい　水遊び,10:30:00,11:20:00,認定こども園しらさぎ保育所,,未就園児とその保護者,みんなでお水遊びをしましょう！,認定こども園しらさぎ保育所,,,0768(62)0304,0,,0,
65,2016/08/06,夕涼み会に参加しよう,18:30:00,20:00:00,認定こども園上町保育所,,未就園児とその保護者,夕涼み会をします！,認定こども園上町保育所,,,0768(76)0136,0,,baby,
66,2016/08/18,夏の遊びを楽しもう,10:30:00,11:30:00,認定こども園高倉保育所,,未就園児とその保護者,夏ならではの遊びをして楽しみましょう,認定こども園高倉保育所,,,0768(62)0670,0,,baby,
67,2016/08/17,ノームアニメ放映会,13:30:00,14:30:00,こどもみらいセンター（能登町）,,未就園児～小学生,「河童のクゥと夏休み」を皆で観賞します！楽しいクジ引きもあるよ♪,こどもみらいセンター（能登町）,,,0768(62)1503,0,,baby,
68,2016/08/31,ノームアニメ放映会,13:30:00,14:30:00,こどもみらいセンター（能登町）,,未就園児～小学生,「妖怪ウォッチ　エンマ大王と５つの物語だニャン」を観賞します！クジ引きもあるよ♪,こどもみらいセンター（能登町）,,,0768(62)1503,0,,baby,
69,2016/08/04,手話講座「手話っち」,14:00:00,15:00:00,こどもみらいセンター（能登町）,,小学生,簡単にできる手話を教わります♪　＊要申込,こどもみらいセンター（能登町）,,,0768(62)1503,0,,child,
70,2016/08/06,工作教室「昆虫グライダー作り」,10:00:00,11:30:00,こどもみらいセンター（能登町）,,小学生,昆虫型の紙飛行機を作ります。誰が一番長く飛ぶかなぁ～？,こどもみらいセンター（能登町）,,,0768(62)1503,100,,child,
71,2016/08/24,ケアハウス縄文との交流会,14:00:00,15:30:00,ケアハウス縄文,,小学生,ケアハウス縄文のお年寄りと楽しい遊びや会話などを通して交流します。,こどもみらいセンター（能登町）,,,0768(62)1503,0,,child,
72,2016/09/01,リトミックで遊ぼう！,10:30:00,12:00:00,こどもみらいセンター（能登町）,,未就園児とその保護者,リトミックを親子で楽しみ、体験してみましょう！講師：山崎真由美先生,こどもみらいセンター（能登町）,,,0768(62)1503,0,,baby,
73,2016/09/08,親子で楽しむ手形アート,10:30:00,11:30:00,こどもみらいセンター（能登町）,,未就園児とその保護者,皆で楽しみながらお子様の成長を残しましょう♪,こどもみらいセンター（能登町）,,,0768(62)1503,0,,baby,
74,2016/09/29,Mama　Cafe,10:30:00,11:30:00,こどもみらいセンター（能登町）,,未就園児とその保護者,みんなでお茶やお喋りしながらリフレッシュ！　要予約・定員10名　,こどもみらいセンター（能登町）,,,0768(62)1503,300,,baby,
75,2016/09/10,町内施設探検～遠島山公園～,10:00:00,14:00:00,こどもみらいセンター（能登町）,,小学生,能登町を皆で探検しよう！遠島山公園に行きます。＊雨天中止　定員10名・要申込　持ち物：弁当・水筒・汗ふきタオル,こどもみらいセンター（能登町）,,,0768(62)1503,100,,child,
76,2016/09/30,身体計測＆パネルシアター,10:30:00,11:30:00,こどもみらいセンター（能登町）,,未就園児とその保護者,身体計測をします。計測後パネルシアターも行います！母子手帳を持参下さい。,こどもみらいセンター（能登町）,,,0768(62)1503,0,,child,
77,2016/09/17,オセロで遊ぼう,10:00:00,11:30:00,こどもみらいセンター（能登町）,,小学生,ルールーがわからなくても大丈夫！みんなでオセロをして遊びましょう♪,こどもみらいセンター（能登町）,,,0768(62)1503,0,,child,
78,2016/09/08,散歩,10:00:00,11:00:00,認定こども園柳田保育所,,未就園児とその保護者,園児と一緒に散歩に行きます。＊雨天時や暑すぎる場合は内容の変更をします,認定こども園柳田保育所,,,0768(76)0154,0,,child,
79,2016/09/03,お祭りごっこを楽しむ！,09:00:00,12:00:00,認定こども園鵜川保育所,,未就園児とその保護者,ヤッサイ！ヤッサイ！皆でお祭りごっこを楽しみましょう♪園児による太鼓の披露もあります☆,認定こども園鵜川保育所,,,0768(67)1623,0,,child,
80,2016/09/15,園庭で遊ぼう,10:30:00,11:30:00,認定こども園上町保育所,,未就園児とその保護者,園庭で遊びます。,認定こども園上町保育所,,,0768(76)0136,0,,child,
81,2016/09/21,体を動かして遊ぼう,10:30:00,11:30:00,認定こども園高倉保育所,,未就園児とその保護者,体をいっぱい動かして遊びます。,認定こども園高倉保育所,,,0768(62)0670,0,,child,
82,2016/10/05,ニュースポーツを楽しもう,15:00:00,16:00:00,こどもみらいセンター（能登町）,,小学生,ニュースポーツを皆で楽しみましょう♪★要申込,こどもみらいセンター（能登町）,,,0768(62)1503,0,,child,
83,2016/10/08,こどもクッキング～簡単さつまいもクッキー～,10:00:00,12:00:00,こどもみらいセンター（能登町）,,小学生,誰でも簡単にできる！サツマイモクッキーを作ります♪定員10名・持ち物：エプロン・三角巾・マスク・手ふき★要申込,こどもみらいセンター（能登町）,,,0768(62)1503,100,,child,
84,2016/10/11,さつまいも掘り＆おもちゃ作り,10:30:00,11:30:00,こどもみらいセンター（能登町）,,未就園児とその保護者,５月に植えたさつまいも！いよいよ収穫です♪簡単にできるおもちゃ作りの紹介もするよ！★要申込,こどもみらいセンター（能登町）,,,0768(62)1503,0,,baby,
85,2016/10/18,おやこでクッキー作り,10:30:00,11:30:00,こどもみらいセンター（能登町）,,未就園児とその保護者,お家でも簡単に作れる！お子さんと一緒に作れる！レシピを紹介します！どんなクッキーができるかなぁ～？★要申込　持ち物：エプロン・三角巾,こどもみらいセンター（能登町）,,,0768(62)1503,100,,baby,
86,2016/10/21,ＭａｍａＣａｆｅ,10:30:00,12:00:00,こどもみらいセンター（能登町）,,未就園児とその保護者,皆さんでゆっくりとお茶を飲みながら、子育て中のお母さん同士の交流を楽しみましょう！★要申込　定員10名,こどもみらいセンター（能登町）,,,0768(62)1503,300,,child,
87,2016/10/21,ドッチボール大会,14:00:00,15:30:00,こどもみらいセンター（能登町）,,小学生,ドッチボールをして遊ぼう！★要申込　持ち物：内履きズック・汗ふきタオル・お茶又は水,こどもみらいセンター（能登町）,,,0768(62)1503,0,,child,
88,2016/10/22,ハロウィンを楽しもう,10:00:00,12:00:00,こどもみらいセンター（能登町）,,小学生,ハロウィンの工作をした後にゲームもするよ♪★要申込　定員：10名,こどもみらいセンター（能登町）,,,0768(62)1503,100,,child,
89,2016/10/28,身体計測・ハロウィンパーティー,10:30:00,11:30:00,こどもみらいセンター（能登町）,,未就園児とその保護者,身体計測をします。計測後にはハロウィンパーティーを楽しみましょう♪　＊母子手帳を持参下さい,こどもみらいセンター（能登町）,,,0768(62)1503,0,,child,
90,2016/10/08,運動会,09:00:00,12:00:00,認定こども園柳田保育所,,未就園児とその保護者,運動会でお兄さん・お姉さんの競技を見たり、親子でゲームに参加したりできます。,認定こども園柳田保育所,,,0768(76)0154,0,,baby,
91,2016/09/15,遊戯室で好きな遊びを楽しもう,10:30:00,11:20:00,認定こども園ひばり保育所,,未就園児とその保護者,お遊戯室で皆で楽しく遊びましょう♪,認定こども園ひばり保育所,,,0768(62)1502,0,,baby,
92,2016/09/24,運動会に参加しよう,09:00:00,12:00:00,認定こども園ひばり保育所,,未就園児とその保護者,運動会に参加してみましょう！,認定こども園ひばり保育所,,,0768(62)1502,0,,baby,
93,2016/10/01,元気いっぱい運動会,09:00:00,12:00:00,認定こども園しらさぎ保育所,,未就園児とその保護者,園児と一緒に運動会を楽しみましょう！,認定こども園しらさぎ保育所,,,0768(62)0304,0,,baby,
94,2016/10/20,仲良くお散歩,10:30:00,11:20:00,認定こども園しらさぎ保育所,,未就園児とその保護者,園児と一緒にお散歩に出かけましょう♪,認定こども園しらさぎ保育所,,,0768(62)0304,0,,baby,
95,2016/09/21,体を動かして遊ぼう,10:30:00,11:30:00,認定こども園高倉保育所,,未就園児とその保護者,体を動かして遊びましょう！動きやすい服装で遊びに来てね★,認定こども園高倉保育所,,,0768(62)0670,0,,baby,
96,2016/09/15,園庭で遊ぼう,10:30:00,11:30:00,認定こども園上町保育所,,未就園児とその保護者,園庭で園児と関わりながら遊びましょう！,認定こども園上町保育所,,,0768(76)0136,0,,baby,
97,2016/10/01,運動会に参加しよう,09:00:00,12:00:00,認定こども園上町保育所,,未就園児とその保護者,運動会に参加して楽しみましょう！,認定こども園上町保育所,,,0768(76)0136,0,,baby,
98,2016/10/08,運動会って楽しいね,09:00:00,12:00:00,認定こども園鵜川保育所,,未就園児とその保護者,楽しい運動会に一緒に参加しましょう！,認定こども園鵜川保育所,,,0768(67)1623,0,,baby,
99,2016/10/30,第２回　モンテッソーリ教育　ワークショップin能登,10:00:00,11:30:00,能登町内（申込時ご案内します）,,どなたでも,家庭でできるモンテッソーリ教育を学びます。（乳幼児編です）講師：国際モンテッソーリ幼児・小学校教師,モンテッソーリスクール　カサデバンビー二,,,076-205-2270,1500,,能登町,
100,2016/11/06,ジン・マサフスキーのサイレントコメディーマジック,13:00:00,14:00:00,コンセールのと,多目的ホール,どなたでも,しゃべらないのに面白い！しゃべらないからこそ面白い！パントマイムやイリュージョンマジックなど見どころいっぱい！,能登町子ども会連合会・こどもみらいセンター・みらい子育てネット・能登町教育委員会,,,0768-62-3458,0,,能登町,
101,2016/11/20,育児用品＆生活雑貨フリーマーケット,10:00:00,11:30:00,コンセールのと,,どなたでも,すぐに使えなくなってしまう育児用品。資源の有効活用と育児用品の軽減を図るため「育児用品＆生活雑貨フリーマーケット」を開催します！出店者も募集中!!,こどもみらいセンター（能登町）,,,0768(62)1503,0,,能登町,
102,2016/11/18,えいごで遊ぼう!!,10:30:00,11:30:00,こどもみらいセンター（能登町）,,未就園児とその保護者,大人気の英語教室の先生と遊びます！講師：新出　奈保先生★要申込,こどもみらいセンター（能登町）,,,0768(62)1503,0,,baby,
103,2016/11/25,身体計測＆手遊び,10:30:00,11:30:00,こどもみらいセンター（能登町）,,未就園児とその保護者,身体計測をします。計測後は手遊びをして遊びましょう♪　★母子手帳を持参下さい,こどもみらいセンター（能登町）,,,0768(62)1503,0,,baby,
104,2016/11/30,Mama　Cafe,10:30:00,12:00:00,こどもみらいセンター（能登町）,,未就園児とその保護者,みんなでお茶やお喋りしながらリフレッシュ！　要予約・定員10名　　,こどもみらいセンター（能登町）,,,0768(62)1503,300,,baby,
105,2016/11/10,園庭遊び,10:00:00,11:00:00,認定こども園柳田保育所,,未就園児とその保護者,園庭で皆と一緒に遊びましょう！,認定こども園柳田保育所,,,0768(76)0154,0,,能登町,
106,2016/11/17,秋の散歩を楽しもう,10:30:00,11:30:00,認定こども園鵜川保育所,,未就園児とその保護者,木の実拾いや草花を摘んで遊びましょう♪,認定こども園鵜川保育所,,,0768(67)1623,0,,能登町,
107,2016/11/17,ままごと遊びを楽しもう,10:30:00,11:20:00,認定こども園ひばり保育所,,未就園児とその保護者,園児と一緒におままごと遊びを楽しみましょう,認定こども園ひばり保育所,,,0768(62)1502,0,,能登町,
108,2016/11/17,粘土で遊ぼう,10:30:00,11:20:00,認定こども園しらさぎ保育所,,未就園児とその保護者,粘土遊びをします！,認定こども園しらさぎ保育所,,,0768(62)0304,0,,能登町,
109,2016/11/17,コーナー遊びをしよう,10:30:00,11:30:00,認定こども園上町保育所,,未就園児とその保護者,準備してあるいろいろな遊びを楽しみます！,認定こども園上町保育所,,,0768(76)0136,0,,能登町,
110,2016/11/17,遊戯室で遊ぼう,10:30:00,11:30:00,認定こども園高倉保育所,,未就園児とその保護者,お遊戯室での遊びを楽しみましょう！,認定こども園高倉保育所,,,0768(62)0670,0,,能登町,
