no,eventtitle,where,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
,ほっとサロンみらい,輪島市子育て支援センター・児童センター,妊婦・乳幼児親子,子育て中のママも、プレママも、先輩ママもお茶を飲んでおしゃべりしたり、リサイクルバザーをします。お気軽にどうぞ♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/09/01,10:30:00,11:30:00,,,2016/09/30 13:24:31,suzuki.csv,reisiu
4,ほっとサロンみらい,輪島市子育て支援センター・児童センター,妊婦　乳幼児とその保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8034,無料,2016/09/01,10:30:00,11:15:00,,,2016/09/30 13:24:31,yamagami.csv,reisiu
69,子育て情報交換,穴水町子育て支援センター（平和こども園）,乳幼児,ママ達と情報交換しましょう,穴水町,平和こども園　（０７６８）５２－２１３０,0,2016/09/01,09:30:00,11:00:00,,,2016/09/30 13:24:31,anamizuh28.csv,reisiu
76,リトミックで遊ぼう！,こどもみらいセンター（能登町）,未収園児とその保護者,リトミックを親子で楽しみ、体験してみましょう！講師：山崎真由美先生,こどもみらいセンター（能登町）,0768(62)1503,0,2016/09/01,10:30:00,12:00:00,baby,,2016/09/30 13:24:31,mirai461_0119.csv,reisiu
73,児童館であそぼう,穴水町児童館,乳幼児,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2016/09/02,10:00:00,12:00:00,,,2016/09/30 13:24:31,anamizuh28.csv,reisiu
,ハンドベルクラブ,輪島市子育て支援センター・児童センター,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/09/03,10:00:00,12:00:00,,,2016/09/30 13:24:31,suzuki.csv,reisiu
,将棋教室,輪島市子育て支援センター・児童センター,小学生・中学生・高校生,将棋教室を行います。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/09/03,10:00:00,12:00:00,,,2016/09/30 13:24:31,suzuki.csv,reisiu
72,おはなし会,穴水町児童館,小学生,絵本・すばなし・紙芝居,穴水町,児童館,0,2016/09/03,10:30:00,11:30:00,,,2016/09/30 13:24:31,anamizuh28.csv,reisiu
83,お祭りごっこを楽しむ！,認定こども園鵜川保育所,未収園児とその保護者,ヤッサイ！ヤッサイ！皆でお祭りごっこを楽しみましょう♪園児による太鼓の披露もあります☆,認定こども園鵜川保育所,0768(67)1623,0,2016/09/03,09:00:00,12:00:00,child,,2016/09/30 13:24:31,mirai461_0119.csv,reisiu
,わじまキッズランド,輪島市子育て支援センター・児童センター,グループ加入者,子どもの町わじまを作ろう,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/09/04,10:00:00,12:00:00,,,2016/09/30 13:24:31,suzuki.csv,reisiu
1,ライトトラップ　光で昆虫を集めて観察します,輪島市石休場町,親子、大人、どなたでも,１９時４５分に８番らーめん輪島店横の道路に集合　服装　長袖長ズボン　（白い服を着てくると虫が寄ってきます。）夜行性の昆虫を蛾類研究者熊谷直哉氏と観察します！持ち物　懐中電灯,輪島親子昆虫クラブ,wajima.konchuclub@gmail.com 3日前までにメールください。　https://www.facebook.com/wajima.konchuclub/,500,2016/09/04,19:45:00,21:30:00,,,2016/09/30 13:24:31,motoguchi.csv,reisiu
,たんぽぽ読み聞かせ,珠洲市子育て支援センター・児童館,乳幼児とその保護者,読み聞かせたんぽぽ隊さんが絵本の読み聞かせをしてくださいます。,珠洲市子育て支援センター,0768-82-5479,0,2016/09/06,10:00:00,10:20:00,,,2016/09/30 13:24:31,suzuki.csv,reisiu
18,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/09/06,10:00:00,11:00:00,,,2016/09/30 13:24:31,takese_kensui0321.csv,reisiu
,保育所開放日,市内各保育所,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。今月の開放日は、3日・17日です。,珠洲市子育て支援センター,0768-82-5479,0,2016/09/07,09:00:00,11:00:00,suzu_pink,,2016/09/30 13:24:31,suzuki.csv,reisiu
2,どんぐりひろば,輪島市健康ふれあい広場,乳幼児親子,シャボン玉、風船などを持ってくるので公園で一緒に遊びましょう！自由にご参加ください！,どんぐりクラブ（みらい子育てネット輪島）,どんぐりクラブ,無料,2016/09/07,10:00:00,12:00:00,,,2016/09/30 13:24:31,motoguchi.csv,reisiu
70,わらべ唄遊びを楽しもう,穴水町子育て支援センター（平和こども園）,乳幼児,わらべ唄遊び,穴水町,平和こども園　（０７６８）５２－２１３０,0,2016/09/08,09:30:00,11:00:00,,,2016/09/30 13:24:31,anamizuh28.csv,reisiu
77,親子で楽しむ手形アート,こどもみらいセンター（能登町）,未収園児とその保護者,皆で楽しみながらお子様の成長を残しましょう♪,こどもみらいセンター（能登町）,0768(62)1503,0,2016/09/08,10:30:00,11:30:00,baby,,2016/09/30 13:24:31,mirai461_0119.csv,reisiu
82,散歩,認定こども園柳田保育所,未収園児とその保護者,園児と一緒に散歩に行きます。＊雨天時や暑すぎる場合は内容の変更をします,認定こども園柳田保育所,0768(76)0154,0,2016/09/08,10:00:00,11:00:00,child,,2016/09/30 13:24:31,mirai461_0119.csv,reisiu
74,児童館であそぼう,穴水町児童館,乳幼児,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2016/09/09,10:00:00,12:00:00,,,2016/09/30 13:24:31,anamizuh28.csv,reisiu
78,親子体操教室,穴水町児童館,乳幼児,幼児リトミックダンスとお母さんのリフレッシュダンス,穴水町,穴水町児童館(0768-52-3220),0,2016/09/09,10:30:00,12:00:00,,,2016/09/30 13:24:31,anamizuh28.csv,reisiu
,「児童館にあつまれ～!」,珠洲市子育て支援センター・児童館,小学生,☆児童館にあつまれ～！場所：じどうかんのお部屋　内容：内　　容：１０日・・ハンカチを染めてプレゼントしよう→若干名　対象：小学生・幼児とその保護者　参加費 ：無料　持ち物：必要なら飲み物やタオル☆児童館へ直接申し込んで下さい。人数になりしだい締切りです。遊びに来てね！！,珠洲市子育て支援センター,0768-82-5479,0,2016/09/10,14:00:00,15:00:00,,,2016/09/30 13:24:31,suzuki.csv,reisiu
79,町内施設探検～遠島山公園～,こどもみらいセンター（能登町）,小学生,能登町を皆で探検しよう！遠島山公園に行きます。＊雨天中止　定員10名・要申込　持ち物：弁当・水筒・汗ふきタオル,こどもみらいセンター（能登町）,0768(62)1503,100,2016/09/10,10:00:00,14:00:00,child,,2016/09/30 13:24:31,mirai461_0119.csv,reisiu
81,児童ダンスクラブ,穴水町児童館,小学生,仲間とダンスの練習,穴水町,穴水町児童館(0768-52-3220),0,2016/09/10,14:00:00,15:00:00,,,2016/09/30 13:24:31,anamizuh28.csv,reisiu
83,造形教室,穴水町児童館,小学生,モビールづくり,穴水町,穴水町児童館(0768-52-3220),0,2016/09/10,10:00:00,12:00:00,,,2016/09/30 13:24:31,anamizuh28.csv,reisiu
