no,eventtitle,where,place,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
,保育所開放日,市内各保育所,,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。,珠洲市子育て支援センター,0768-82-5479,0,2017/01/04,09:00:00,11:00:00,suzu_pink,,2017/01/30 14:07:41,suzuki.csv,
137,すごろく遊び,こどもみらいセンター（能登町）,こどもみらいセンター（能登町）,小学生,お正月遊びを皆で楽しみましょう！＊要申込,こどもみらいセンター（能登町）,0768(62)1503,0,2017/01/04,14:00:00,15:00:00,child,,2017/01/30 14:07:41,mirai461_0119.csv,
,お正月遊びをしよう,輪島市もんぜん児童館,,どなたでも,凧を作って飛ばそう！そしておいしいおもちをみんなで食べよう！,輪島市もんぜん児童館,0768-42-3166,100,2017/01/05,10:00:00,12:30:00,,,2017/01/30 14:07:41,takese_0130.csv,
125,今年の子育て目標をたてましょう,穴水町子育て支援センター（平和こども園）,,乳幼児,ママ達と情報交換しましょう,穴水町,平和こども園　（０７６８）５２－２１３０,0,2017/01/05,09:30:00,11:00:00,,,2017/01/30 14:07:41,anamizuh28.csv,
138,かるた遊び,こどもみらいセンター（能登町）,こどもみらいセンター（能登町）,小学生,お正月ならではの遊び！かるた遊びをしよう！＊要申込,こどもみらいセンター（能登町）,0768(62)1503,0,2017/01/05,14:00:00,15:00:00,child,,2017/01/30 14:07:41,mirai461_0119.csv,
,ママのためのセラピーアラカルト,珠洲市子育て支援センター・児童館,,乳幼児の保護者１０名,主任児童委員・加藤美紀さんがボランティアでフット・ ハンド・ヘッドのいずれかをマッサージして下さいます。持ち物：飲み物☆☆参加ご希望の方は、子育て支援センターにお申し込みください。（申込み順の受付となります。）☆対象人数になり次第、締め切らせて頂きます,珠洲市子育て支援センター,0768-82-5479,0,2017/01/06,10:00:00,11:30:00,,,2017/01/30 14:07:41,suzuki.csv,
135,児童館であそぼう,穴水町児童館,,乳幼児と保護者,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2017/01/06,10:00:00,12:00:00,,,2017/01/30 14:07:41,anamizuh28.csv,
139,１分間のギネスに挑戦！遊びのチャンピオン,こどもみらいセンター（能登町）,こどもみらいセンター（能登町）,小学生,色々な項目の遊びにチャレンジ！記録に挑戦しよう！昼食に皆でおもちを食べます。＊要申込,こどもみらいセンター（能登町）,0768(62)1503,0,2017/01/06,10:30:00,12:00:00,child,,2017/01/30 14:07:41,mirai461_0119.csv,
,わじまキッズランド,輪島市子育て支援センター・児童センター,,グループ加入者,子どもの町わじまを作ろう,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/01/08,10:00:00,12:00:00,,,2017/01/30 14:07:41,takese_0130.csv,
,たんぽぽ読み聞かせ,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,読み聞かせたんぽぽ隊さんが絵本の読み聞かせをしてくださいます。,珠洲市子育て支援センター,0768-82-5479,0,2017/01/10,10:00:00,10:20:00,,,2017/01/30 14:07:41,suzuki.csv,
22,輪島市乳幼児健康相談,輪島市もんぜん児童館,,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2017/01/10,10:00:00,11:00:00,,,2017/01/30 14:07:41,takese_kensui0321.csv,
133,お正月遊び,こどもみらいセンター（能登町）,こどもみらいセンター（能登町）,未就園児とその保護者,お正月にちなんだ遊びをいくつかします！遊びに来てね★,こどもみらいセンター（能登町）,0768(62)1503,0,2017/01/10,10:30:00,11:30:00,baby,,2017/01/30 14:07:41,mirai461_0119.csv,
143,親子でふれあい遊びをしよう,認定こども園ひばり保育所,認定こども園ひばり保育所,未就園児とその保護者,いくつか遊びを紹介します！お子さんと触れ合って一緒に遊びましょう！,認定こども園ひばり保育所,0768(62)1502,0,2017/01/10,10:30:00,11:20:00,child,,2017/01/30 14:07:41,mirai461_0119.csv,
