no,year,month,day,starttime,endtime,eventname,contents,place,lat,lng,target,entry,fee,icon
1,2015,10,01,9:00,10:00,朝起き会,子どもの体操教室,体育館,,,5才以上,体育館,無料,over10
2,2015,10,03,10:00,12:00,親子音楽会,和楽器の体験音楽会,フォルテ大ホール,,,8才以上,振興財団,無料,over8
3,2015,10,05,17:00,19:00,おもちゃで遊ぼう,和楽器の体験音楽会,中央公民館,,,10才以上,公民館,無料,over10
4,2015,10,10,9:00,10:00,朝起き会,子どもの体操教室,体育館,,,5才以上,体育館,無料,over10
5,2015,10,11,10:00,12:00,親子音楽会,和楽器の体験音楽会,フォルテ大ホール,,,8才以上,振興財団,無料,over8
6,2015,10,12,17:00,19:00,おもちゃで遊ぼう,和楽器の体験音楽会,中央公民館,,,10才以上,公民館,無料,over10
7,2015,10,21,9:00,10:00,朝起き会,子どもの体操教室,体育館,,,5才以上,体育館,無料,over10
8,2015,10,22,10:00,12:00,親子音楽会,和楽器の体験音楽会,フォルテ大ホール,,,8才以上,振興財団,無料,over8
9,2015,10,26,17:00,19:00,おもちゃで遊ぼう,和楽器の体験音楽会,中央公民館,,,10才以上,公民館,無料,over10
10,2015,10,27,9:00,10:00,朝起き会,子どもの体操教室,体育館,,,5才以上,体育館,無料,over10
11,2015,10,29,10:00,12:00,親子音楽会,和楽器の体験音楽会,フォルテ大ホール,,,8才以上,振興財団,無料,over8
12,2015,10,30,17:00,19:00,おもちゃで遊ぼう,和楽器の体験音楽会,中央公民館,,,10才以上,公民館,無料,over10
