no,eventtitle,where,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
1,たんぽぽ読み聞かせ,珠洲市子育て支援センター・児童館,調査中,調査中,珠洲市子育て支援センター,珠洲市子育て支援センター・児童館 82-5479,,2016/03/01,10:00:00,10:20:00,suzu_pink,,2016/03/26 01:46:13,reisiu_1603.csv,reisiu
,森のようちえん,輪島市町野町金蔵,幼児親子,森のようちえん　子どもがのびのびと遊べるように子どもの力を信じて見守る子育てを学びながら遊びます。,輪島親子昆虫クラブ,輪島親子昆虫クラブ　wajima.konchuclub@gmail.com,500,2016/03/02,10:00:00,15:00:00,baby,,2016/03/26 01:46:13,motoguchi.csv,reisiu
2,ママとベビーの英会話,珠洲市子育て支援センター・児童館,乳幼児とその保護者,Ｍｏｍ＆Ｂａｂｙ　Ｅｎｇｌｉｓｈ　Ｆｕｎ　Ｇｒｏｕｐ.  ＡｌｉｓｈａＣａｎｎｏｎさんと一緒に楽しく英語にふれませんか？ 絵本の読み聞かせ、日常会話、手遊びなどを通して交流を図りましょう♪,珠洲市子育て支援センター,珠洲市子育て支援センター・児童館 82-5479,0,2016/03/02,10:00:00,10:45:00,suzu_pink,,2016/03/26 01:46:13,reisiu_1603.csv,reisiu
3,保育所開放日,珠洲市内各保育所,調査中,調査中,珠洲市子育て支援センター,調査中,0,2016/03/02,09:00:00,11:00:00,suzu_pink,,2016/03/26 01:46:13,reisiu_1603.csv,reisiu
1,ひなまつりの集い,穴水町子育て支援センター（平和こども園）,乳幼児,みんなでひなまつりを楽しもう,穴水町,平和こども園　（０７６８）５２－２１３０,0,2016/03/03,09:30:00,11:00:00,,,2016/03/26 01:46:13,anamizuh28.csv,reisiu
3,ひなまつり会,こどもみらいセンター（能登町）,未就園児とその保護者,ひな祭りにちなんだ製作・読み聞かせ・歌を歌います,こどもみらいセンター（能登町）,0768(62)1503,0,2016/03/03,10:30:00,11:30:00,,,2016/03/26 01:46:13,reisiu_mirai461march.csv,reisiu
4,ひなまつり,珠洲市子育て支援センター・児童館,調査中,この日に来た子には、何かいいことがあるかも！？,珠洲市子育て支援センター,珠洲市子育て支援センター・児童館 82-5479,0,2016/03/03,08:30:00,17:00:00,suzu_pink,,2016/03/26 01:46:13,reisiu_1603.csv,reisiu
6,楽しいひなまつり,こどもみらいセンター（能登町）,未就園児とその保護者,ひな祭りの製作・読み聞かせ・歌などをして遊びます。定員：10名程度(要予約),こどもみらいセンター（能登町）,0768(62)1503,0,2016/03/03,10:30:00,12:00:00,,,2016/03/26 01:46:13,mirai461_0119.csv,reisiu
5,ママのためのセラピーアラカルト,珠洲市子育て支援センター・児童館,乳幼児の保護者１０名,主任児童委員・加藤美紀さんがボランティアでフット・ハンド・ヘッドのいずれかをマッサージして下さいます。要予約,珠洲市子育て支援センター,珠洲市子育て支援センター・児童館 82-5479,0,2016/03/04,10:00:00,11:30:00,suzu_pink,,2016/03/26 01:46:13,reisiu_1603.csv,reisiu
,ハンドベルクラブ,輪島市子育て支援センター・児童センター,クラブ加入者,ハンドベルクラブ,輪島市子育て支援センター・児童センター,22-8031,0,2016/03/05,10:00:00,12:00:00,,,2016/03/26 01:46:13,reisiu_takese0308.csv,reisiu
