no,eventtitle,where,place,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
31,保育所開放日,市内各保育所,,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。,珠洲市子育て支援センター,0768-82-5479,0,2017/03/01,09:00:00,11:00:00,suzu_pink,,2017/03/10 18:03:38,suzuki.csv,nnain
9,ほっとサロンみらい,輪島市子育て支援センター・児童センター,,妊婦　乳幼児とその保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8039,無料,2017/03/02,10:30:00,11:15:00,,,2017/03/10 18:03:38,yamagami.csv,nnain
33,ママぴよタイム～ひなまつり会～,珠洲市子育て支援センター・児童館,,乳幼児とその保護者　１0名,～ひなまつり会～　対 　象：乳幼児とその保護者　１５組　内 　容：お雛祭りをみんなで楽しく祝いましょう。　参加費：親子で1００円　持ち物：飲み物　☆参加ご希望の方は、１日（水）までに子育て支援センターにお申し込みください。,珠洲市子育て支援センター,0768-82-5479,100,2017/03/02,10:00:00,11:00:00,,,2017/03/10 18:03:38,suzuki.csv,nnain
157,ひなまつりのおはなし,穴水町子育て支援センター（平和こども園）,,乳幼児,ひなまつりのおはなし,穴水町,平和こども園　（０７６８）５２－２１３０,0,2017/03/02,09:30:00,11:00:00,,,2017/03/10 18:03:38,anamizuh28.csv,nnain
169,ひな祭り会に参加しよう,認定こども園高倉保育所,,未就園児とその保護者,ひな祭り会を園児と一緒に楽しみます,認定こども園高倉保育所,0768(62)0670,0,2017/03/02,10:30:00,11:30:00,baby,,2017/03/10 18:03:38,mirai461_0119.csv,nnain
,育児講座幼児安全法支援員養成講座,輪島市子育て支援センター・児童センター,,満１５歳以上、全日参加できる方,子どもに起こりやすい事故の予防と手当についてた、子どもの病気や看病の仕方について、学びます。検定合格者には、幼児安全法支援員認定証を交付いたします。,輪島市子育て支援センター・児童センター,0768-22-8031,1800,2017/03/03,13:00:00,15:00:00,,,2017/03/10 18:03:38,takese_0228.csv,nnain
,親子体操,輪島市もんぜん児童館,,どなたでも,一緒に親子体操をしましょう♪,輪島市もんぜん児童館,0768-42-3166,0,2017/03/03,10:30:00,11:00:00,,,2017/03/10 18:03:38,takese_0228.csv,nnain
34,ママのためのセラピーアラカルト,珠洲市子育て支援センター・児童館,,乳幼児の保護者１０名,主任児童委員・加藤美紀さんがボランティアでフット・ ハンド・ヘッドのいずれかをマッサージして下さいます。持ち物：飲み物☆☆参加ご希望の方は、子育て支援センターにお申し込みください。（申込み順の受付となります。）☆対象人数になり次第、締め切らせて頂きます,珠洲市子育て支援センター,0768-82-5479,0,2017/03/03,10:00:00,11:30:00,,,2017/03/10 18:03:38,suzuki.csv,nnain
160,ひなまつり会,こどもみらいセンター（能登町）,,未就園児とその保護者,みんなで雛祭りの行事を楽しみましょう！,こどもみらいセンター（能登町）,0768(62)1503,0,2017/03/03,10:30:00,11:30:00,baby,,2017/03/10 18:03:38,mirai461_0119.csv,nnain
166,児童館であそぼう,穴水町児童館,,乳幼児と保護者,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2017/03/03,10:00:00,12:00:00,,,2017/03/10 18:03:38,anamizuh28.csv,nnain
168,うれしいひな祭り,認定こども園しらさぎ保育所,,未就園児とその保護者,ひな祭りの雰囲気を一緒に楽しみましょう！,認定こども園しらさぎ保育所,0768(62)0304,0,2017/03/03,10:30:00,11:30:00,baby,,2017/03/10 18:03:38,mirai461_0119.csv,nnain
170,ひな祭り会に参加しよう,認定こども園上町保育所,,未就園児とその保護者,季節の行事を楽しみましょう！,認定こども園上町保育所,0768(76)0136,0,2017/03/03,10:30:00,11:30:00,baby,,2017/03/10 18:03:38,mirai461_0119.csv,nnain
171,ひな祭り会,認定こども園鵜川保育所,,未就園児とその保護者,楽しいひな祭り会に参加しませんか？,認定こども園鵜川保育所,0768(67)1623,0,2017/03/03,10:30:00,11:30:00,baby,,2017/03/10 18:03:38,mirai461_0119.csv,nnain
