no,eventtitle,where,place,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
,保育所開放日,市内各保育所,,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。,珠洲市子育て支援センター,0768-82-5479,0,2017/02/01,09:00:00,11:00:00,suzu_pink,,2017/02/27 17:04:46,suzuki.csv,reisiu
,節分うたあそび,珠洲市子育て支援センター・児童館,,,親子で楽しく歌って遊びましょう。,珠洲市子育て支援センター,0768-82-5479,0,2017/02/02,10:00:00,11:00:00,,,2017/02/27 17:04:46,suzuki.csv,reisiu
8,ほっとサロンみらい,輪島市子育て支援センター・児童センター,,妊婦　乳幼児とその保護者,,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8038,無料,2017/02/02,10:30:00,11:15:00,,,2017/02/27 17:04:46,yamagami.csv,reisiu
141,節分のおはなし,穴水町子育て支援センター（平和こども園）,,乳幼児,節分のおはなし,穴水町,平和こども園　（０７６８）５２－２１３０,0,2017/02/02,09:30:00,11:00:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
,ママのためのセラピーアラカルト,珠洲市子育て支援センター・児童館,,乳幼児の保護者１０名,主任児童委員・加藤美紀さんがボランティアでフット・ ハンド・ヘッドのいずれかをマッサージして下さいます。持ち物：飲み物☆☆参加ご希望の方は、子育て支援センターにお申し込みください。（申込み順の受付となります。）☆参加ご希望の方は、２日（木）までに子育て支援センターにお申し込みください。（申込み順の受付となります。）,珠洲市子育て支援センター,0768-82-5479,0,2017/02/03,10:00:00,11:30:00,,,2017/02/27 17:04:46,suzuki.csv,reisiu
,節分豆まき,輪島市もんぜん児童館,,,豆まきをして今年も元気に過ごそう！,輪島市もんぜん児童館,0768-42-3166,0,2017/02/03,16:30:00,17:00:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
,親子体操,輪島市もんぜん児童館,,どなたでも,一緒に親子体操をしましょう♪,輪島市もんぜん児童館,0768-42-3166,0,2017/02/03,10:30:00,11:00:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
155,みんなで鬼たいじ！,こどもみらいセンター（能登町）,,未就園児とその保護者,節分にちなんで豆まきをします。みんなで鬼をやっつけよう！,こどもみらいセンター（能登町）,0768(62)1503,0,2017/02/03,10:30:00,11:00:00,baby,,2017/02/27 17:04:46,mirai461_0119.csv,reisiu
,「児童館にあつまれ～!」,珠洲市子育て支援センター・児童館,,小学生・年長中児とその保護者　　９名,☆児童館にあつまれ～！「ちびっこクッキング」☆　場 　所：じどうかんのお部屋　内容：チョコカップケーキつくり　持ち物：飲み物やタオル・エプロン・三角布（スカーフ可）・取り皿・フォーク・持ち帰り用フクロも持ってきてね！ ☆参加ご希望の方は、児童館にお申し込みください。 定員になりしだいしめきりです。,珠洲市子育て支援センター,0768-82-5479,100,2017/02/04,14:00:00,15:00:00,,,2017/02/27 17:04:46,suzuki.csv,reisiu
149,節分のつどい,穴水町児童館,プルート内,要事前申込【定員５名／２月３日まで】,ゲーム＆豆まき,穴水町,穴水町児童館(0768-52-3220),0,2017/02/04,10:30:00,12:00:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
