no,year,month,day,starttime,endtime,eventname,contents,place,lat,lng,target,entry,fee,icon
1,2016,01,01,9:00,10:00,朝起き会,子どもの体操教室,体育館,,,5才以上,体育館,無料,over10
2,2016,01,03,10:00,12:00,親子音楽会,和楽器の体験音楽会,フォルテ大ホール,,,8才以上,振興財団,無料,over8
3,2016,01,05,17:00,19:00,おもちゃで遊ぼう,和楽器の体験音楽会,中央公民館,,,10才以上,公民館,無料,over10
4,2016,01,10,9:00,10:00,朝起き会,子どもの体操教室,体育館,,,5才以上,体育館,無料,over10
7,2016,01,11,10:00,12:00,親子音楽会,和楽器の体験音楽会,フォルテ大ホール,,,8才以上,振興財団,無料,over8
5,2016,01,11,9:00,10:00,朝起き会,子どもの体操教室,体育館,,,5才以上,体育館,無料,over10
6,2016,01,11,9:00,10:00,朝起き会,子どもの体操教室,体育館,,,5才以上,体育館,無料,over10
7,2016,01,12,17:00,19:00,おもちゃで遊ぼう,和楽器の体験音楽会,中央公民館,,,10才以上,公民館,無料,over10
9,2016,01,21,9:00,10:00,朝起き会,子どもの体操教室,体育館,,,5才以上,体育館,無料,over10
10,2016,01,22,10:00,12:00,親子音楽会,和楽器の体験音楽会,フォルテ大ホール,,,8才以上,振興財団,無料,over8
11,2016,01,26,17:00,19:00,おもちゃで遊ぼう,和楽器の体験音楽会,中央公民館,,,10才以上,公民館,無料,over10
12,2016,01,27,9:00,10:00,朝起き会,子どもの体操教室,体育館,,,5才以上,体育館,無料,over10
13,2016,01,29,10:00,12:00,親子音楽会,和楽器の体験音楽会,フォルテ大ホール,,,8才以上,振興財団,無料,over8
14,2016,01,30,17:00,19:00,おもちゃで遊ぼう,和楽器の体験音楽会,中央公民館,,,10才以上,公民館,無料,over10
15,2016,01,30,17:00,19:00,おもちゃで遊ぼう,和楽器の体験音楽会,中央公民館,,,10才以上,公民館,無料,over10
16,2016,01,30,17:00,19:00,おもちゃで遊ぼう,和楽器の体験音楽会,中央公民館,,,10才以上,公民館,無料,over10
17,2016,01,30,17:00,19:00,おもちゃで遊ぼう,和楽器の体験音楽会,中央公民館,,,10才以上,公民館,無料,over10
18,2016,01,30,17:00,19:00,おもちゃで遊ぼう,和楽器の体験音楽会,中央公民館,,,10才以上,公民館,無料,over10
