no,eventtitle,where,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
60,七夕製作と飾り付け,こどもみらいセンター（能登町）,未収園児～一般,七夕の製作・飾り付けをします。７日まで終日受け付けしています。気軽に参加してね♪,こどもみらいセンター（能登町）,0768(62)1503,0,2016/07/01,09:15:00,17:30:00,baby,,2016/07/31 17:51:09,mirai461_0119.csv,reisiu
22,ため池でジュンサイをとってたべよう！,能登半島里山里海自然学校,未就学児～大人まで　どなたでも！,♪おらっちゃの里山里海親子ワークショップ２０１６♪ 第4回目。「じゅんさい」ってなにか知ってますか？食べたことありますか？どこにあるのか、見たことあるかな？NPOおらっちゃの里山里海スタッフと一緒に、ため池に小舟を浮かばせてぷるぷるの天然ジュンサイを採るとっておきの里山体験です。採れたてのジュンサイで里山ランチもみんなで作りましょう。 ♪参加費は親子ひと組２０００円　（兄弟人数は問わず）。♪持ち物：包丁、まないた、白ご飯、お味噌汁用のおわんかコップ、おはし、おしぼり、汚れてもよい服（長袖）、長靴、水筒、虫除けスプレー ♪ランチについて：ごはんのうえに地元の豆腐とジュンサイをのせた丼をつくります。白ご飯を人数分お持ちください。お野菜のお味噌汁もつくります。 ♪対象　：未就学児～大人まで　どなたでも！　 ♪お申込み: 参加者全員のお名前、お子さんの年齢、ご連絡先をお知らせください。FBの「参加」ポチでは正式参加になりませんのでご了承をお願いいたします。 http://www.satoyama-satoumi.com/oraccha/ws/,NPO法人能登半島おらっちゃの里山里海,0768-88-2528,2000,2016/07/03,10:30:00,12:30:00,suzu_pink,,2016/07/31 17:51:09,suzucity.csv,reisiu
,たんぽぽ読み聞かせ,珠洲市子育て支援センター・児童館,乳幼児とその保護者,読み聞かせたんぽぽ隊さんが絵本の読み聞かせをしてくださいます。,珠洲市子育て支援センター,0768-82-5479,0,2016/07/05,10:00:00,10:20:00,,,2016/07/31 17:51:09,suzucity.csv,reisiu
,保育所開放日,三井保育所,乳幼児親子,保育所開放日　七夕かざりをつくろう　事前申し込み不要　詳しくは各保育所にお問い合わせください,三井保育所,0768-26-1201,0,2016/07/05,10:00:00,11:00:00,,,2016/07/31 17:51:09,suzuki.csv,reisiu
16,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/07/05,10:00:00,11:00:00,,,2016/07/31 17:51:09,takese_kensui0321.csv,reisiu
20,ママのホッとティータイム,穴水町児童館,乳幼児,子育てママが抱える様々な思いを自由に話し、仲間の話に耳を傾けホッと一息するママのための場所です。,穴水町,穴水町児童館（0768-52-3220）,0,2016/07/05,10:00:00,11:30:00,,,2016/07/31 17:51:09,anamizuh28.csv,reisiu
,保育所開放日,市内各保育所,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。今月の開放日は、1日・１５日です。,珠洲市子育て支援センター,0768-82-5479,0,2016/07/06,09:00:00,11:00:00,suzu_pink,,2016/07/31 17:51:09,suzucity.csv,reisiu
44,おまつりごっこに参加しよう（町内まわり）,認定こども園ひばり保育所,未収園児とその保護者,園のおまつりごっこに一緒に参加しましょう,認定こども園ひばり保育所,0768(62)1502,0,2016/07/06,10:30:00,11:20:00,baby,,2016/07/31 17:51:09,mirai461_0119.csv,reisiu
,ホットサロンみらい,輪島市子育て支援センター・児童センター,妊婦・乳幼児親子,きままカルテット七夕ミニコンサート　リサイクルバザー　〇共催　みらい子育てネット　,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/07/07,10:00:00,12:00:00,,,2016/07/31 17:51:09,suzuki.csv,reisiu
,保育所開放日,南志見保育所,乳幼児親子,保育所開放日　七夕のつどいをたのしみましょう　事前申し込み不要　詳しくは各保育所にお問い合わせください,南志見保育所,0768-34-1212,0,2016/07/07,10:00:00,11:00:00,,,2016/07/31 17:51:09,suzuki.csv,reisiu
,親子ふれあい講座,珠洲市子育て支援センター・児童館,乳幼児とその保護者,☆親子ふれあい講座　アクセサリー講座☆夏に向けてキラキラ光るスワロフスキーを使ったネックレスを作りませんか！日　時：7月7日（木）１０：００～１１：３０ 場　所：珠洲市子育て支援センター 対　象：乳幼児の保護者　若干名 講　師：濱野清美氏 参加費：７００円 持ち物：特になし ☆細かいビーズを使いますので、お子様が口にいれないようれぐれもお気をつけください。☆参加ご希望の方は、7月1日（金）までに 子育て支援センターまでお申し込みください。,珠洲市子育て支援センター,0768-82-5479,700,2016/07/07,10:00:00,11:30:00,,,2016/07/31 17:51:09,suzucity.csv,reisiu
3,ほっとサロンみらい,輪島市子育て支援センター・児童センター,妊婦　乳幼児とその保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8033,無料,2016/07/07,10:30:00,11:15:00,,,2016/07/31 17:51:09,yamagami.csv,reisiu
20,のとノットアローン開発デー,輪島市子育て支援センター・児童センター,どなたでも,のとノットアローン開発デー＆のとノットアローンの開発に役立つツール勉強会  午後１３時半から「のとノットアローン開発デー＆のとノットアローンの開発に役立つツール勉強会」 みんなのご意見、お聞かせください～　気軽にどうぞ。  CFK代表の福島さんもきますので、オンライン秘書のような便利なアプリの紹介など、教えてもらう予定です。スキルアップに興味のある方はこちらもご一緒しましょう～ 午前中はお茶をして、お洋服のお下がり交換ができるギブテク会もありますね,CodeforKanazawa projectNNA!,nna@codeforkanazawa.org,0,2016/07/07,13:30:00,16:00:00,,,2016/07/31 17:51:09,suzucity.csv,reisiu
42,手作りおもちゃで遊ぶ,認定こども園柳田保育所,未収園児とその保護者,手作りおもちゃで遊びます。育児相談・情報交換・園児との交流もあります。,認定こども園柳田保育所,0768(76)0154,0,2016/07/07,10:00:00,11:00:00,baby,,2016/07/31 17:51:09,mirai461_0119.csv,reisiu
,ママのためのセラピーアラカルト,珠洲市子育て支援センター・児童館,乳幼児の保護者１０名,主任児童委員・加藤美紀さんがボランティアでフット・ ハンド・ヘッドのいずれかをマッサージして下さいます。持ち物：飲み物☆参加ご希望の方は、前日までに珠洲市子育て支援センターにお申し込みください。（申込み順の受付となります。）☆対象人数になり次第、締め切らせて頂きます,珠洲市子育て支援センター,0768-82-5479,0,2016/07/08,10:00:00,11:30:00,,,2016/07/31 17:51:09,suzucity.csv,reisiu
48,お魚をさばいてみよう！,こどもみらいセンター（能登町）,未収園児とその保護者,お魚が美味しい能登！美味しく調理できるようになろう♪要予約（定員10名）,こどもみらいセンター（能登町）,0768(62)1503,100,2016/07/08,10:30:00,12:00:00,baby,,2016/07/31 17:51:09,mirai461_0119.csv,reisiu
49,身体計測・エプロンシアター,こどもみらいセンター（能登町）,未収園児とその保護者,身体計測をします。終了後にエプロンシアターもしますのでお楽しみに！母子手帳をお持ち下さい。,こどもみらいセンター（能登町）,0768(62)1503,0,2016/07/08,10:30:00,11:30:00,baby,,2016/07/31 17:51:09,mirai461_0119.csv,reisiu
,「小学生あつまれ～!」,珠洲市子育て支援センター・児童館,小学生,☆児童館にあつまれ～！☆　日　　時：７月９日（土）、１６日（土）１４：００～１５：００　   場　　所：じどうかんのお部屋 内　　容：　９日は風車作り １６日は新聞紙でかばんを作ろう　対　　象：小学生6名 参加費：無料　持 ち 物：　９日は特に無し　１６日は新聞紙を1日分　その他、必要なら飲み物やタオル　☆参加ご希望の方はその週の木曜日までに児童館へお申込み下さい。（申込み順に受付となります。） ,珠洲市子育て支援センター,0768-82-5479,0,2016/07/09,14:00:00,15:00:00,,,2016/07/31 17:51:09,suzucity.csv,reisiu
,よさこいキッズ教室,珠洲市子育て支援センター・児童館,乳幼児とその保護者・小学生,音楽に合わせて楽しく体を動かしましょう。,珠洲市子育て支援センター,0768-82-5479,0,2016/07/09,15:30:00,16:00:00,,,2016/07/31 17:51:09,suzucity.csv,reisiu
1,生き物調べ,輪島市石休場町,親子、大人、どなたでも,7月9日土曜日10時から　生き物調べ＠輪島市石休場町 10時に輪島ー穴水1号線の石休場のぼり口集合 河原で生き物調べ、観察など行います 参加費１家族500円 持ち物　お弁当、水筒、着替え、長靴、暑くて川遊びする人は水着やタオルなど、あみ、水槽など,輪島親子昆虫クラブ,wajima.konchuclub@gmail.com 2日前までにメールください。　https://www.facebook.com/wajima.konchuclub/,500,2016/07/09,10:00:00,14:00:00,,,2016/07/31 17:51:09,motoguchi.csv,reisiu
,おばけスタッフ会議,輪島市子育て支援センター・児童センター,5年・6年,ふれあいおばけ大会のスタッフ会議　※5年・6年のスタッフ募集中,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/07/10,13:30:00,12:00:00,,,2016/07/31 17:51:09,suzuki.csv,reisiu
,わじまキッズランド,輪島市子育て支援センター・児童センター,小学4年～高校生,子どもの町わじまを作ろう,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/07/10,10:00:00,12:00:00,,,2016/07/31 17:51:09,suzuki.csv,reisiu
2,交通安全マスコット作り,輪島市町野町金蔵,どなたでも,木を伐って秋の交通安全で配布するマスコットを作ります。,どんぐりクラブ（みらい子育てネット輪島）,dongri.wajima@gmail.com,無料,2016/07/10,10:00:00,12:30:00,,,2016/07/31 17:51:09,motoguchi.csv,reisiu
21,無農薬野菜市えーいち,鉄板でこ前 珠洲市　飯田町よー６,どなたでも,農薬や化学肥料に頼らず育てた野菜・米・豆など。それを使った食べ物が出店。餅つきや紙芝居やワークショップなど子どもたちがも楽しめます。,えーいち実行委員会,小林　090-4456-1389,0,2016/07/10,08:00:00,11:00:00,suzu_pink,,2016/07/31 17:51:09,suzucity.csv,reisiu
55,こどもクッキング「ふんわりバナナオムレット」,こどもみらいセンター（能登町）,小学生,美味しいバナナオムレットを作ります。持ち物：エプロン・三角巾・マスク・,こどもみらいセンター（能登町）,0768(62)1503,100,2016/07/10,10:00:00,12:00:00,child,,2016/07/31 17:51:09,mirai461_0119.csv,reisiu
,国際交流,珠洲市子育て支援センター・児童館,乳幼児とその保護者,国際交流員による外国のことばや絵本の紹介及び文化交流をします。,珠洲市子育て支援センター,0768-82-5479,0,2016/07/11,10:00:00,10:30:00,,,2016/07/31 17:51:09,suzucity.csv,reisiu
9,すくすく相談,穴水町保健センター,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,穴水町健康推進課（0768-52-3589）,0,2016/07/11,10:00:00,11:30:00,,,2016/07/31 17:51:09,anamizuh28.csv,reisiu
