no,eventtitle,where,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
7,みらいセンター春祭り,こどもみらいセンター（能登町）,どなたでも参加できます,幼児の遊びコーナー・小学生の遊びコーナー・無料の飲食提供有です,こどもみらいセンター（能登町）,0768(62)1503,0,2016/04/01,13:30:00,15:00:00,,,2016/04/27 20:11:43,mirai461_0119.csv,reisiu
,映画上映会,輪島市子育て支援センター・児童センター,児童〜大人,映画上映『かみさまとのやくそく』開場13時30分　開演14時〜16時　主催：笑親いしかわ　※ご鑑賞の方は三角州に駐車してください映画上映中は、遊戯室以外の場所で遊んでください。,輪島市子育て支援センター・児童センター,22-8031,0,2016/04/02,13:30:00,16:00:00,,,2016/04/27 20:11:43,reisiu_takese0308.csv,reisiu
,たんぽぽ読み聞かせ,珠洲市子育て支援センター・児童館,乳幼児とその保護者,読み聞かせたんぽぽ隊さんが絵本の読み聞かせをしてくださいます。,珠洲市子育て支援センター,0768-82-5479,0,2016/04/05,10:00:00,10:20:00,,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
13,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/04/05,10:00:00,11:00:00,,,2016/04/27 20:11:43,takese_kensui0321.csv,reisiu
,ママとベビーの英会話,珠洲市子育て支援センター・児童館,乳幼児とその保護者,Ｍｏｍ＆Ｂａｂｙ　Ｅｎｇｌｉｓｈ　Ｆｕｎ　Ｇｒｏｕｐ. 絵本の読み聞かせ、日常会話、手遊びなどを通して、楽しく英語にふれませんか？日時は毎月第１・４水曜日の１０：００～１０：４５です。今月は６日・２７日です。ご自由にご参加ください(^_^)/,珠洲市子育て支援センター,0768-82-5479,0,2016/04/06,10:00:00,10:45:00,,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
,保育所開放日,市内各保育所,乳幼児とその保護者,☆市内各保育所の開放日もご利用ください☆,珠洲市子育て支援センター,0768-82-5479,0,2016/04/06,09:00:00,11:00:00,suzu_pink,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
35,お友達になりましょう,穴水町子育て支援センター（平和こども園）,乳幼児,お友達になりましょう,穴水町,平和こども園　（０７６８）５２－２１３０,0,2016/04/07,09:30:00,11:00:00,,,2016/04/27 20:11:43,anamizuh28.csv,reisiu
,ママのためのセラピーアラカルト,珠洲市子育て支援センター・児童館,乳幼児の保護者１０名,主任児童委員・加藤美紀さんがボランティアでフット・ ハンド・ヘッドのいずれかをマッサージして下さいます。持ち物：飲み物☆参加ご希望の方は、前日までに珠洲市子育て支援センターにお申し込みください。（申込み順の受付となります。）☆対象人数になり次第、締め切らせて頂きます,珠洲市子育て支援センター,0768-82-5479,0,2016/04/08,10:00:00,11:30:00,,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
,「小学生あつまれ～!」,珠洲市子育て支援センター・児童館,小学生,「小学生あつまれ～!」　先生やお友だちと楽しくゲームをしたり体を動かして遊びましょう☆　無料のおたのしみ工作もあるかも・・・！？持ち物：必要ならば飲み物やタオル 申込みは不要です。当日、直接遊びに来てね！！,珠洲市子育て支援センター,0768-82-5479,0,2016/04/09,14:00:00,15:00:00,,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
,よさこいキッズ教室,珠洲市子育て支援センター・児童館,乳幼児とその保護者・小学生,音楽に合わせて楽しく体を動かしましょう。,珠洲市子育て支援センター,0768-82-5479,0,2016/04/09,15:30:00,16:00:00,,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
11,お花見クッキング～３色だんご作り～,こどもみらいセンター（能登町）,小学生・大人,みんなでお花見のお団子を作って食べます。　持ち物：エプロン・三角巾・マスク,こどもみらいセンター（能登町）,0768(62)1503,100,2016/04/10,10:00:00,12:00:00,,,2016/04/27 20:11:43,mirai461_0119.csv,reisiu
6,すくすく相談,穴水町保健センター,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,穴水町健康推進課（0768-52-3589）,0,2016/04/11,10:00:00,11:30:00,,,2016/04/27 20:11:43,anamizuh28.csv,reisiu
,ママぴよタイム,珠洲市子育て支援センター・児童館,乳幼児とその保護者,☆ママぴよタイム「ママと遊ぼう」☆読み聞かせやふれあい遊びなどで、お子さまとゆったりとした時間を過ごしましょう? 持ち物：とくになし 申込みは不要です。当日、直接お越しください,珠洲市子育て支援センター,0768-82-5479,0,2016/04/12,10:00:00,11:00:00,,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
29,児童館であそぼう,穴水町児童館,乳幼児,子育てサポーターが幼児の遊びをサポートします,穴水町,児童館,0,2016/04/12,10:00:00,12:00:00,,,2016/04/27 20:11:43,anamizuh28.csv,reisiu
,ほっとミーティング,珠洲市役所市民ふれあいの里　健康増進センター,妊娠中の方・乳幼児をお持ちのママ,子育てや親子関係などママたちがそれぞれ持っている不安や気がかりについて 率直に安心してうちあけられるようなおしゃべりタイムです。,珠洲市子育て支援センター,0768-82-5479,0,2016/04/13,10:00:00,11:30:00,,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
12,ママCafe,こどもみらいセンター（能登町）,未就園児とその保護者（おうちの方のみの参加もできます）,子育て中のおうちの方同士でお喋りやお茶をしながらゆったりとした時間を過ごしましょう。,こどもみらいセンター（能登町）,0768(62)1503,300,2016/04/14,10:30:00,12:00:00,,,2016/04/27 20:11:43,mirai461_0119.csv,reisiu
,☆親子で運動遊び☆,珠洲市子育て支援センター・児童館,乳幼児とその保護者,☆親子で運動遊び☆スポーツ推進員といっしょに、親子で楽しく運動遊びをしませんか？場所は今月は珠洲市子育て支援センター、持ち物は水分と汗拭き用タオル、申込みは不要です。直接遊びに来て下さいね！,珠洲市子育て支援センター,0768-82-5479,0,2016/04/15,10:00:00,10:30:00,,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
25,輪島市乳幼児健康相談,町野めばえ子育て支援室,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/04/15,10:00:00,11:00:00,,,2016/04/27 20:11:43,takese_kensui0321.csv,reisiu
30,親子体操教室,穴水町児童館,乳幼児,幼児リトミックダンスとお母さんのリフレッシュダンス,穴水町,児童館,0,2016/04/15,10:30:00,12:00:00,,,2016/04/27 20:11:43,anamizuh28.csv,reisiu
,国際交流,珠洲市子育て支援センター・児童館,乳幼児とその保護者,国際交流員による外国のことばや絵本の紹介及び文化交流をします。,珠洲市子育て支援センター,0768-82-5479,0,2016/04/18,10:00:00,10:30:00,,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
17,ママのホッとティータイム,穴水町児童館,乳幼児,子育てママが抱える様々な思いを自由に話し、仲間の話に耳を傾けホッと一息するママのための場所です。,穴水町,穴水町児童館（0768-52-3220）,0,2016/04/19,10:00:00,11:30:00,,,2016/04/27 20:11:43,anamizuh28.csv,reisiu
,ドッチビー大会,輪島市もんぜん児童館,どなたでも,平成28年度１回目！ドッヂビー大会！汗を流して戦おう！,輪島市もんぜん児童館,0768-22-8031,0,2016/04/20,16:00:00,17:00:00,,,2016/04/27 20:11:43,takese_0427.csv,reisiu
,保育所開放日,市内各保育所,乳幼児とその保護者,☆市内各保育所の開放日もご利用ください☆,珠洲市子育て支援センター,0768-82-5479,0,2016/04/20,09:00:00,11:00:00,suzu_pink,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
