no,eventtitle,where,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
19,こいのぼりフェスティバル,こどもみらいセンター（能登町）,どなたでも,小さいお子さん～大人までみんなでこいのぼりを作って遊ぼう！４月25日～５月13日まで毎日実施しています,こどもみらいセンター（能登町）,0768(62)1503,0,2016/05/01,09:15:00,17:30:00,child,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
,あそびのウォークラリー,輪島市子育て支援センター・児童センター,幼児～小学生,あそびのウォークラリーを楽しもう！いろんなゲームにチャレンジしてみんなで遊びましょう！※５、６年生の子どもスタッフ大募集！子どもスタッフは、当日午後１時に集合です。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/07,13:30:00,15:30:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
,よさこいキッズ教室,珠洲市子育て支援センター・児童館,乳幼児とその保護者・小学生,音楽に合わせて楽しく体を動かしましょう。,珠洲市子育て支援センター,0768-82-5479,0,2016/05/07,15:30:00,16:00:00,,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
,ハンドベルクラブ,輪島市子育て支援センター・児童センター,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/07,10:00:00,12:00:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
,ハンドベルクラブ,輪島市子育て支援センター・児童センター,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/07,10:00:00,12:00:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
,将棋教室,輪島市子育て支援センター・児童センター,小学生・中学生・高校生,将棋教室を行います。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/07,10:00:00,12:00:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
20,ファミリーデープレゼント作り,こどもみらいセンター（能登町）,小学生,紙粘土でペン立て作りをします　定員１０名　要予約,こどもみらいセンター（能登町）,0768(62)1503,100,2016/05/07,10:00:00,12:00:00,child,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
,わじまキッズランド,輪島市子育て支援センター・児童センター,キッズランド加入者,子どもの町わじまを作ろう,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/08,10:00:00,12:00:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
,イチゴ狩りに行きませんか？,珠洲市子育て支援センター・児童館,乳幼児とその保護者,☆イチゴ狩りに行きませんか？☆　日時：５月９日（月）１０：００～１１：３０　 行き先：珠洲市正院町岡田　皆口農園　交通手段：各自自動車　対象：乳幼児とその保護者　入 料：大人１３００円、満２歳以上５００円、２歳未満無料持 ち 物：飲み物☆参加ご希望の方は、６日（金）までに子育て支援センターにお申し込みください。☆９：４５までに、子育て支援センター前に集合してください。 （直接、現地に行かれる場合はお知らせください。）,珠洲市子育て支援センター,0768-82-5479,0~1300,2016/05/09,10:00:00,11:30:00,,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
7,すくすく相談,穴水町保健センター,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,穴水町健康推進課（0768-52-3589）,0,2016/05/09,10:00:00,11:30:00,,,2016/05/30 20:58:02,anamizuh28.csv,reisiu
,たんぽぽ読み聞かせ,珠洲市子育て支援センター・児童館,乳幼児とその保護者,読み聞かせたんぽぽ隊さんが絵本の読み聞かせをしてくださいます。,珠洲市子育て支援センター,0768-82-5479,0,2016/05/10,10:00:00,10:20:00,,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
14,輪島市乳幼児健康相談,輪島市もんぜん児童館,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/05/10,10:00:00,11:00:00,,,2016/05/30 20:58:02,takese_kensui0321.csv,reisiu
17,ベビマッサージ,こどもみらいセンター（能登町）,１歳未満の赤ちゃんとその保護者,親子でベビーマッサージを行います　持ち物：バスタオル　当日前後の予防接種等はお控えください。要予約・定員１０名,こどもみらいセンター（能登町）,0768(62)1503,500,2016/05/10,10:30:00,11:30:00,baby,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
42,児童館であそぼう,穴水町児童館,乳幼児,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2016/05/10,10:00:00,12:00:00,,,2016/05/30 20:58:02,anamizuh28.csv,reisiu
,ほっとミーティング,珠洲市役所市民ふれあいの里　健康増進センター,妊娠中の方・乳幼児をお持ちのママ,子育てや親子関係などママたちがそれぞれ持っている不安や気がかりについて 率直に安心してうちあけられるようなおしゃべりタイムです。,珠洲市子育て支援センター,0768-82-5479,0,2016/05/11,10:00:00,11:30:00,,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
,暑中見舞いボランティア,輪島市子育て支援センター・児童センター,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/11,09:30:00,11:30:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
,ほっとサロンみらい,輪島市子育て支援センター・児童センター,妊婦・乳幼児親子,子育て中のママも、プレママも、先輩ママもお茶を飲んでおしゃべりしたり、リサイクルバザーをします。お気軽にどうぞ♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/12,10:30:00,11:30:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
1,ほっとサロンみらい,輪島市子育て支援センター・児童センター,妊婦　乳幼児とその保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。子育て中のママも、プレママも、先輩ママもお茶を飲んでおしゃべりしたり、リサイクルバザーをします。お気軽にどうぞ♪,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8031,無料,2016/05/12,10:30:00,11:15:00,,,2016/05/30 20:58:02,yamagami.csv,reisiu
34,無料歯科検診と工作教室,こどもみらいセンター（能登町）,幼児～小学生,無料歯科検診を開催します。歯科検診受診後に工作教室を行います。会場：コンセールのと　幼児：おえかききんちゃく袋　小学生：段ボール工作（うさぎ・ハムスター・クワガタ）又は麦わら帽子のブローチ　各定員10名,こどもみらいセンター（能登町）,0768(62)1503,0,2016/05/12,10:00:00,12:00:00,baby,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
41,園庭で遊ぼう,穴水町子育て支援センター（平和こども園）,乳幼児,園庭で遊びましょう,穴水町,平和こども園　（０７６８）５２－２１３０,0,2016/05/12,09:30:00,11:00:00,,,2016/05/30 20:58:02,anamizuh28.csv,reisiu
,ママのためのセラピーアラカルト,珠洲市子育て支援センター・児童館,乳幼児の保護者１０名,主任児童委員・加藤美紀さんがボランティアでフット・ ハンド・ヘッドのいずれかをマッサージして下さいます。持ち物：飲み物☆参加ご希望の方は、12日までに珠洲市子育て支援センターにお申し込みください。（申込み順の受付となります。）☆対象人数になり次第、締め切らせて頂きます,珠洲市子育て支援センター,0768-82-5479,0,2016/05/13,10:00:00,11:30:00,,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
13,夏野菜を植えよう！,こどもみらいセンター（能登町）,幼児とその保護者,親子でプランターに夏野菜を植えます。収穫までみらいセンターで育てます。要予約,こどもみらいセンター（能登町）,0768(62)1503,0,2016/05/13,10:30:00,11:30:00,baby,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
47,親子体操教室,穴水町児童館,乳幼児,幼児リトミックダンスとお母さんのリフレッシュダンス,穴水町,穴水町児童館(0768-52-3220),0,2016/05/13,10:30:00,12:00:00,,,2016/05/30 20:58:02,anamizuh28.csv,reisiu
21,町内施設探索～うみさかへ行こう～,こどもみらいセンター（能登町）,小学生,皆で町内探索をします　持ち物：お弁当・水筒・敷物　定員１０名　,こどもみらいセンター（能登町）,0768(62)1503,100,2016/05/14,10:00:00,13:00:00,child ,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
31,身体計測・手袋シアター,こどもみらいセンター（能登町）,未就園児とその保護者,身体計測をします。計測後に手袋シアターも行います！母子手帳を持参下さい。,こどもみらいセンター（能登町）,0768(62)1503,0,2016/05/14,10:30:00,11:30:00,baby,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
50,児童ダンスクラブ,穴水町児童館,小学生,仲間とダンスの練習,穴水町,穴水町児童館(0768-52-3220),0,2016/05/14,10:30:00,11:30:00,,,2016/05/30 20:58:02,anamizuh28.csv,reisiu
51,おはなし会,穴水町児童館,小学生,絵本・すばなし・紙芝居,穴水町,児童館,0,2016/05/14,10:30:00,11:30:00,,,2016/05/30 20:58:02,anamizuh28.csv,reisiu
,ドッヂビー大会,輪島市子育て支援センター・児童センター,小学生20名,ニュースポーツ「ドッヂビー」にチャレンジ！みんなでドッヂビーの達人になろう！※参加したい人は申込みして下さい。　協力：もんぜんスポーツクラブ,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/15,10:00:00,12:00:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
,国際交流,珠洲市子育て支援センター・児童館,乳幼児とその保護者,国際交流員による外国のことばや絵本の紹介及び文化交流をします。,珠洲市子育て支援センター,0768-82-5479,0,2016/05/16,10:00:00,10:30:00,,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,ボールプールで遊ぼう！子育て仲間のみんなと一緒に楽しみませんか?,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/17,10:30:00,11:30:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
