no,eventtitle,where,place,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
13,たんぽぽ読み聞かせ,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,読み聞かせたんぽぽ隊さんが絵本の読み聞かせをしてくださいます。,珠洲市子育て支援センター,0768-82-5479,0,2016/11/01,10:00:00,10:20:00,,,2016/11/30 21:34:32,suzuki.csv,
20,輪島市乳幼児健康相談,輪島市もんぜん児童館,,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/11/01,10:00:00,11:00:00,,,2016/11/30 21:34:32,takese_kensui0321.csv,
103,児童ダンスクラブ,穴水町児童館,,小学生,仲間とダンスの練習,穴水町,穴水町児童館(0768-52-3220),0,2016/11/01,16:30:00,17:30:00,,,2016/11/30 21:34:32,anamizuh28.csv,
105,児童館であそぼう,穴水町児童館,,乳幼児,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2016/11/01,10:00:00,12:00:00,,,2016/11/30 21:34:32,anamizuh28.csv,
12,保育所開放日,市内各保育所,,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。今月の開放日は、3日・17日です。,珠洲市子育て支援センター,0768-82-5479,0,2016/11/02,09:00:00,11:00:00,suzu_pink,,2016/11/30 21:34:32,suzuki.csv,
102,児童ダンスクラブ,穴水町児童館,,小学生,仲間とダンスの練習,穴水町,穴水町児童館(0768-52-3220),0,2016/11/02,15:00:00,16:00:00,,,2016/11/30 21:34:32,anamizuh28.csv,
115,秋のバス遠足,こどもみらいセンター（能登町）,,小学生,輪島キリコ会館　マリンタウン「こどもの広場」に行きます！＊まつなみキッズセンターと合同で実施します。各施設定員10名・要申込＊持ち物弁当・水筒・敷物・おやつ・ゴミ袋,こどもみらいセンター（能登町）・松波キッズセンター,0768(62)1503・0768（72）0269,200,2016/11/03,10:00:00,15:00:00,child,,2016/11/30 21:34:32,mirai461_0119.csv,
11,ママのためのセラピーアラカルト,珠洲市子育て支援センター・児童館,,乳幼児の保護者１０名,主任児童委員・加藤美紀さんがボランティアでフット・ ハンド・ヘッドのいずれかをマッサージして下さいます。持ち物：飲み物☆☆参加ご希望の方は、２日（水）までに子育て支援センターにお申し込みください。（申込み順の受付となります。）☆対象人数になり次第、締め切らせて頂きます,珠洲市子育て支援センター,0768-82-5479,0,2016/11/04,10:00:00,11:30:00,,,2016/11/30 21:34:32,suzuki.csv,
1,鵜川子育てママリフレッシュサークル,鵜川公民館,,妊婦　乳幼児とその保護者,スマホのおふとんを作ろう!!,鵜川公民館,0768-67-1919,0,2016/11/05,13:30:00,16:00:00,,,2016/11/30 21:34:32,ukawa.csv,
101,おはなし会,穴水町児童館,1階小会議室,小学生,絵本・すばなし・紙芝居など。「こぐまグループ」のみなさん,穴水町,児童館,0,2016/11/05,10:30:00,11:30:00,,,2016/11/30 21:34:32,anamizuh28.csv,
104,ジン・マサフスキーのサイレントコメディーマジック,コンセールのと,多目的ホール,どなたでも,しゃべらないのに面白い！しゃべらないからこそ面白い！パントマイムやイリュージョンマジックなど見どころいっぱい！,能登町子ども会連合会・こどもみらいセンター・みらい子育てネット・能登町教育委員会,0768-62-3458,0,2016/11/06,13:00:00,14:00:00,能登町,,2016/11/30 21:34:32,mirai461_0119.csv,
108,ハンドメイド教室,穴水町児童館,,乳幼児,簡単な工作をします。※託児あり（要予約）,穴水町,穴水町児童館(0768-52-3220),0,2016/11/08,10:00:00,12:00:00,,,2016/11/30 21:34:32,anamizuh28.csv,
10,ほっとミーティング,珠洲市役所市民ふれあいの里　健康増進センター,,妊娠中の方・乳幼児をお持ちのママ,☆ママのためのほっとミーティング☆子育て親子関係のことなど、ママたちそれぞれ持っている不安や気がかりについて率直に、安心して打ち明けられるようなおしゃべりタイム、それが「ほっとミーティング」です。 ◎ほっとミーティングは、別室にてママたちだけの場となります。 ◎お子様については和室にて託児いたします。 （お子様用の水分や替え用のオムツ等お持ちください。） ◎当日は、できるだけ午前１０時までにおいでください。＊ご利用の際は、必ず４日（金）までに予約をお願いします。＜予約・問い合わせ＞  珠洲市健康増進センター（福祉課　健康推進係）　電話　８２－７７４２,珠洲市子育て支援センター,,0,2016/11/09,10:00:00,11:30:00,,,2016/11/30 21:34:32,suzuki.csv,
