//プレミアム・パスポート　事業協賛店一覧,,20160104 
企業ID,店舗ID,店舗・施設名,郵便,住所,住所建物,緯度,経度,電話,FAX,URL,営業・利用可能時間,定休日,プレパス特典（協賛店のみ）
co101357,ofid0003, ユーフォリア千里浜,925-0054,石川県羽咋市千里浜町タ1番地67,,36.8895771,136.7679974,0767-22-9000,0767-22-9009,http://www2.city.hakui.ishikawa.jp/euphoria/,10:00〜22:00,毎週水曜日（祝日の場合は翌日）・元旦,
co101454,ofid0003, 出光リテール販売（株）中部カンパニー　森本営業所,920-3132,石川県金沢市法光寺町２４９−１,,36.6046645, 136.6840985,076-258-2177,076-257-1831,http://www.chubu.idemitsu-rh.co.jp,７時３０分から２１時００分,2014/01/01,
co101454,ofid0001, 出光リテール販売（株）中部カンパニー　泉本町営業所,921-8042,石川県金沢市泉本町７−１−１,,36.5516926, 136.6332127,076-243-1061,076-243-1067,http://www.chubu.idemitsu-rh.co.jp,７時３０分から２１時００分,2014/01/01,
co820804,ofid0001,(有)みなと模型若宮店,920-0053,石川県金沢市若宮町ホ３４−１,,36.5815472,136.63138930,076-262-2006,076-262-2006,http://www15.ocn.ne.jp/~minato-m/,月〜金１１：００〜２１：００、土１０：００〜２１：００、日祝１０：００〜２０：００,毎週火曜日、第３月曜日,
co101367,ofid0001,(有)ミズックス,921-8823,石川県野々市市粟田４丁目３０,,36.5161604, 136.6122375,076-294-3860,,http://mizux.biz/,10:00〜17:00,土・日・祝・年末年始,
co100133,ofid0001,(有)新海塩産業,927-1322,石川県珠洲市長橋町15-18-11,,37.5022902, 137.1667224,0768-87-8140,0768-87-8141,http://www.suzutennen-shio.jp/,8:00〜17:00,年中無休（元日も営業）,
co101417,ofid0001,(有)木下石材,923-0964,石川県小松市今江町5-503　,今江展示場,36.3767449, 136.4413755,0761-48-6660,0761-48-6665,http://www.kinoshita1483.com,9:00〜18:00,年中無休（盆・正月を除く）,
co101452,ofid0001,(株)プログレッシブアートステイト,920-0967,石川県金沢市菊川2丁目24-2-2,,36.5535396,136.6617376,076-222-0535,076-222-1290,http://p-a-state.com/,10:00〜19:00,月曜日,
co101082,ofid0004,(株)北陸マツダ　七尾店,926-0852,石川県七尾市小島町大開地１,,37.0517651,136.9573518,0767-53-8070,,http://www.hokuriku-mazda.jp/,9:30〜18:00,毎週火曜日（変更有り）,
co101082,ofid0002,(株)北陸マツダ　小松店,923-0801,石川県小松市園町ヌ７０,,36.4103108, 136.4650001,0761-22-2316,0761-22-2419,http://www.hokuriku-mazda.jp/,9:30〜18:00,毎週火曜日（変更有り）,
co101082,ofid0001,(株)北陸マツダ　野々市本店,921-8817,石川県野々市市横宮町3-1,,36.537519, 136.6176175,076-248-1111,076-246-3176,http://www.hokuriku-mazda.jp/,9:30〜18:00,毎週火曜日（変更有り）,
co101082,ofid0003,(株)北陸マツダ　金沢駅西店,920-0025,石川県金沢市駅西本町3-14-33,,36.5845164, 136.6372777,076-224-8500,,http://www.hokuriku-mazda.jp/,9:30〜18:00,毎週火曜日（変更有り）,
co100055,ofid0001,(株)空間工房ゆう,921-8064,石川県金沢市八日市5丁目546番地,にしき堂ビル2F,36.5509812, 136.6115506,076-208-4185,076-208-4117,http://www.kuukankoubou.jp,9:00〜18:00,日曜、祝日,
co100068,ofid0002,(株)第一地所,921-8035,石川県金沢市泉が丘2丁目12番46号,,36.5401332, 136.6446760,076-243-4001,076-243-4002,http://www.djweb.co.jp,9:00〜18:00,毎週水曜日、年末年始,
co100068,ofid0001,(株)第一地所　鞍月支店,920-8203,石川県金沢市鞍月5丁目1番地,,36.6013113, 136.6244001,076-255-6000,076-255-6100,http://www.djweb.co.jp,9:00〜18:00,毎週水曜日、年末年始,
co101498,ofid0003,100円ショップキャン・ドウ　能登宇出津店,927-0400,石川県鳳珠郡能登町字宇出津新港２−７,ショッピングタウンアルプ内,37.2987496, 137.1462195,0768-62-4811,,,10時00分から19時00分,1月1日（元旦）のみ,
co101342,ofid0006,100円ショップポピア　シーサイド店,927-1214,石川県珠洲市飯田町1-1-8,ショッピングプラザシーサイド２F,37.4345785, 137.2635036,0768-82-2090,,http://www.hokurikufamily.com/index.php,9:00〜19:30　,無休　,
co101342,ofid0007,100円ショップポピア　ファミイ店,928-0022,石川県輪島市宅田町7-37,輪島ファミィ店１F,37.3862988, 136.8985376,0768-23-1255,,http://www.hokurikufamily.com/index.php,10:00〜20:00　,元旦　,
co101342,ofid0008,100円ショップポピア　七尾店,926-0028,石川県七尾市藤野町ロ−38番地,ナッピィモール,37.0308333, 136.9683978,0767-53-8088,,http://www.hokurikufamily.com/index.php,10:00〜20:00　,元旦　,
co101342,ofid0005,100円ショップポピア　鳴和店,920-0804,石川県金沢市鳴和1-1-10,城北ショッピングセンター３F,36.5847562, 136.6724937,076-251-3114,,http://www.hokurikufamily.com/index.php,10:00〜19:00　,元旦　,
co101342,ofid0004,100円ショップポピア＆Homestyle　アピタタウン金沢,920-0333,石川県金沢市無量寺4丁目56番地,シンセンポート,36.5999412,136.6147997,076-225-2588,,http://www.hokurikufamily.com/index.php,10:00〜21:00　,無休　,
co101342,ofid0001,100円ショップポピア＆Homestyle　入江店,921-8011,石川県金沢市入江2丁目9-1,,36.5664157, 136.6297482,076-291-6848,,http://www.hokurikufamily.com/index.php,10:00〜20:00,元旦　,
co101342,ofid0003,100円ショップポピア＆Homestyle　松任店,924-0817,石川県白山市幸明町270番地,アピタ松任店Tio2F,36.5159835,136.5769665,076-274-0280,,http://www.hokurikufamily.com/index.php,10:00〜20:00,無休　,
co101342,ofid0002,100円ショップポピア＆Homestyle　金沢店,921-8022,石川県金沢市中村町10-20,アピタ金沢店２Ｆ,36.5595886, 136.6425595,076-241-0048,,http://www.hokurikufamily.com/index.php,10:00〜21:00　火曜日9:00〜21:00　,無休　,
co792115,ofid0001,ABCこども英語・英会話　松ヶ枝教室,920-0864,石川県金沢市高岡町7−23,松ヶ枝公民館,36.5699033,136.6528507,080-1523-1753,,http://abc-kodomo-eikaiwa.flips.jp/,火曜日＆金曜日　１４：４５〜１８：２０,,
co792115,ofid0002,ABCこども英語・英会話　此花町教室,920-0852,石川県金沢市此花町2番７号,此花町公民館,36.5771927, 136.6519548,080-1523-1735,,http://abc-kodomo-eikaiwa.flips.jp,木曜日　１５：００〜１８：００,,
co100466,ofid0001,ALLEGRO　トヨシマ,923-0993,石川県小松市浮柳町　ヨ50先,小松空港2F,36.4018512, 136.4134824,0761-24-6852,,,7:15〜20:15,なし,
co101011,ofid0001,ALLURE BPN＆べっぴんさん,924-0841,石川県白山市平松町87-1,,36.5076919, 136.5681970,076-276-2367,076-276-2367,http://www.beppinsan.com,9:00〜19:00,毎週月曜日、第3日曜日、年末年始,
co100149,ofid0001,ANAクラウンプラザホテル金沢　「カスケイド ダイニング」,920-0856,石川県金沢市昭和町16番3号,,36.5768038, 136.6486411,076-224-9802,076-224-6100,http://www.anacrowneplaza-kanazawa.jp,6:00〜23:00,無休,
co100149,ofid0003,ANAクラウンプラザホテル金沢　中国料理 「花梨」,920-0856,石川県金沢市昭和町16番3号,,36.5768038, 136.6486411,076-224-9804,076-224-6100,http://www.anacrowneplaza-kanazawa.jp,平日11:30〜14:30、17:00〜21:30　土・日・祝日11:30〜21:30,無休,
