no,area_name,location_name,lat,lng,address,memo,visible
1,輪島市,輪島市子育て支援センター・児童センター,37.3940678956363,136.90120279664234,石川県輪島市河井町２−２８７−１輪島市ふれあい健康センター2階,開館時間　火～金　８：３０～１７：００ 土・日　８：３０～１６：００ 　休館日は月曜日・祝日 、１２月２９日～１月３日,
2,輪島市,輪島市町野町金蔵,37.400981,137.070391,石川県輪島市金蔵ヨ54,,
3,輪島市,輪島市石休場町,37.363135,136.908653,石川県輪島市石休場町,輪島昆虫クラブの集合場所です！https://www.facebook.com/wajima.konchuclub/,
4,能登町,こどもみらいセンター（能登町）,37.30880173077797,137.14844282572562,日本  〒927-0433 石川県鳳珠郡能登町宇出津タ−６１−１６,【4月1日～9月30日】　9:15～17:30 　【10月1日～3月31日】9:15～17:00　休日：月曜日、第３日曜日　※月祝は開館,
5,輪島市,輪島市もんぜん児童館,37.288665,136.765664,輪島市門前町鬼屋４の２０番地,開館時間は火～金９：００～１８：００ 、土・日９：００～１７：００休館日は月曜日・祝日 、１２月２９日～１月３日,
6,能登町,まつなみキッズセンター（能登町）,37.352452938616054,137.24498748779297,日本  〒927-0602 石川県鳳珠郡能登町松波１３−５０－４,0768-72-0269,
7,珠洲市,珠洲市子育て支援センター・児童館,37.440529,137.263935,〒９２７－１２１４　珠洲市飯田町９－１５５, <TEL/FAX>  ８２－５４７９<開館時間>　 月～土曜日　８：３０～１７：００ <休館日> 毎週日曜日、国民の祝日、年末年始,
8,穴水町,穴水町子育て支援センター（平和こども園）,37.234354,136.910001,穴水町川島タの２番地,開館は毎週木曜日9:30~11:00.　平和こども園0768-52-2130,
9,穴水町,穴水町保健センター,37.23324556218188,136.91020488739014,日本  〒927-0027 石川県鳳珠郡穴水町川島タ−３８,8:30-17:30 / 0768-52-3589,
10,穴水町,穴水町児童館,37.22860707352403,136.90579533576965,日本  〒927-0026 石川県鳳珠郡穴水町大町ト−２,児童館（プルート内）開館時間：9:00-17:00　休館：月曜、祝日、年末年始,
11,七尾市,サンビーム日和ヶ丘,37.05960738455031,136.89515568315983,七尾市垣吉町へ−２４ 市立田鶴浜図書館,0767-68-2277,
12,輪島市,町野めばえ子育て支援室,37.42820042688873,137.08768129348755,,,
13,珠洲市,珠洲市役所市民ふれあいの里　健康増進センター,37.444732,137.265841,石川県珠洲市飯田町５−９,0768-82-7742,
14,珠洲市,能登半島里山里海自然学校,37.45096276625982,137.35900081694126,石川県珠洲市三崎町小泊３３−７ ,〒927-1462 石川県珠洲市三崎町小泊３３−７ 能登半島里山里海自然学校　金沢大学能登学舎の１Fです。,
15,輪島市,石川県輪島漆芸美術館,37.38977863447789,136.89229942556267,〒928-0063 石川県輪島市水守町四十刈１１ 石川県輪島漆芸美術館,0768-22-9788  不定休,
16,珠洲市,珠洲健民体育館,37.446487,137.270497,珠洲市野々江町セ−１７−１,0768-82-5100,
17,輪島市,輪島市町野町大川,37.44938177689229,137.06786632508738,日本  〒928-0231 石川県輪島市町野町大川１３−３６,輪島親子昆虫クラブ　https://www.facebook.com/wajima.konchuclub/,
18,輪島市,高洲山,37.38496158147195,136.95800304318254,輪島市惣領町高洲山,輪島親子昆虫クラブ　https://www.facebook.com/wajima.konchuclub/,
19,輪島市,輪島市健康ふれあい広場,37.390110,136.908120,輪島市河井町１６,,
20,輪島市,輪島市ふれあい健康センター,37.394113,136.90120279664234,石川県輪島市河井町２−２８７−１,,
21,輪島市,石川県健康の森,37.29738737349009,136.9288583099842,日本  〒929-2372 石川県輪島市三井町洲衛苗代谷内２９,,
22,能登町,鵜川公民館,37.253319,137.085079,〒927-0302 石川県鳳珠郡能登町鵜川１８−１２８,0768-67-1919,
