店舗・事業所情報一覧,,20141205_153955 ,,,,,,,,,,,
企業ID,店舗ID,店舗・施設名,郵便,住所１２３,住所４,緯度,経度,電話,FAX,URL,営業・利用可能時間,定休日,プレパス特典（協賛店のみ）
co101342,ofid0008,100円ショップポピア　七尾店,926-0028,石川県七尾市藤野町ロ−38番地,ナッピィモール,37.0308333,136.9683978,0767-53-8088,,http://www.hokurikufamily.com/index.php,10:00〜20:00　,元旦　,通常５２５円で１ポイントのところ、４２０円で１ポイントおつけします。ポイント３倍デーもご利用ください！
co101342,ofid0005,100円ショップポピア　鳴和店,920-0804,石川県金沢市鳴和1-1-10,城北ショッピングセンター３F,36.5847562,136.6724937,076-251-3114,,http://www.hokurikufamily.com/index.php,10:00〜19:00　,元旦　,通常５２５円で１ポイントのところ、４２０円で１ポイントおつけします。ポイント３倍デーもご利用ください！
co101342,ofid0004,100円ショップポピア＆Homestyle　アピタタウン金沢,920-0333,石川県金沢市無量寺第二土地区画整理事業地内,アピタタウン金沢ベイ,36.6072323,136.6082374,076-225-2588,,http://www.hokurikufamily.com/index.php,10:00〜21:00　,無休　,通常５２５円で１ポイントのところ、４２０円で１ポイントおつけします。ポイント３倍デーもご利用ください！
co101342,ofid0003,100円ショップポピア＆Homestyle　アピタ松任店,924-0817,石川県白山市幸明町270番地,アピタ松任店Tio2F,36.5159835,136.5769665,076-274-0280,,http://www.hokurikufamily.com/index.php,10:00〜20:00,無休　,通常５２５円で１ポイントのところ、４２０円で１ポイントおつけします。ポイント３倍デーもご利用ください！
co101342,ofid0002,100円ショップポピア＆Homestyle　アピタ金沢店,921-8022,石川県金沢市中村町10-20,アピタ金沢店２Ｆ,36.5595886,136.6425595,076-241-0048,,http://www.hokurikufamily.com/index.php,10:00〜21:00　火曜日9:00〜21:00　,無休　,通常５２５円で１ポイントのところ、４２０円で１ポイントおつけします。ポイント３倍デーもご利用ください！
co101342,ofid0001,100円ショップポピア＆Homestyle　入江店,921-8011,石川県金沢市入江2丁目9-1,,36.5664157,136.6297482,076-291-6848,,http://www.hokurikufamily.com/index.php,10:00〜20:00,元旦　,通常５２５円で１ポイントのところ、４２０円で１ポイントおつけします。ポイント３倍デーもご利用ください！
co792115,ofid0001,ABCこども英語・英会話　松ヶ枝教室,920-0864,石川県金沢市高岡町7−23,松ヶ枝公民館,36.5699033,136.6528507,080-1523-1753,,http://abc-kodomo-eikaiwa.flips.jp/,火曜日＆金曜日　１４：４５〜１８：２０,,３回１０００円のお試しレッスンあり。兄弟２人目から、入学金半額。兄弟３人目から、月謝半額。
co100466,ofid0001,ALLEGRO　トヨシマ,923-0993,石川県小松市浮柳町　ヨ50先,小松空港2F,36.4018512,136.4134824,0761-24-6852,,,7:15〜20:15,なし,全商品5％引き（クレジットカード利用は除く）
co101011,ofid0001,ALLURE BPN＆べっぴんさん,924-0841,石川県白山市平松町87-1,,36.5076919,136.568197,076-276-2367,076-276-2367,http://www.beppinsan.com,9:00〜19:00,毎週月曜日、第3日曜日、年末年始,平日特典！ファミリーパック割引で50％引き。例えばパパ＆キッズ、ママ＆キッズ、パパ＆ママ＆キッズ
co100149,ofid0001,ANAクラウンプラザホテル金沢　「カスケイド ダイニング」,920-0856,石川県金沢市昭和町16番3号,,36.5768038,136.6486411,076-224-9802,076-224-6100,http://www.anacrowneplaza-kanazawa.jp,6:00〜23:00,無休,お食事代10％引き
co100149,ofid0003,ANAクラウンプラザホテル金沢　中国料理 「花梨」,920-0856,石川県金沢市昭和町16番3号,,36.5768038,136.6486411,076-224-9804,076-224-6100,http://www.anacrowneplaza-kanazawa.jp,平日11:30〜14:30、17:00〜21:30　土・日・祝日11:30〜21:30,無休,お食事代10％引き
co100149,ofid0004,ANAクラウンプラザホテル金沢　日本料理 「雲海」,920-0856,石川県金沢市昭和町16番3号,,36.5768038,136.6486411,076-224-9805,076-224-6100,http://www.anacrowneplaza-kanazawa.jp,11:30〜14:30、17:00〜21:30,無休,お食事代10％引き
co100149,ofid0005,ANAクラウンプラザホテル金沢　鉄板焼 「加賀」,920-0856,石川県金沢市昭和町16番3号,,36.5768038,136.6486411,076-224-9806,076-224-6100,http://www.anacrowneplaza-kanazawa.jp,11:30〜14:30、17:00〜21:30,無休,お食事代10％引き
co100721,ofid0001,AREA　KOUDAUMAE　田井屋吉兵衛,921-8812,石川県野々市市扇が丘162番地,,36.5295744,136.6249471,076-227-0088,076-227-0701,http://www.kichibei.co.jp,10時00分から23時00分,年中無休,文房お買い上げ10％OFF！
co101256,ofid0005,auショップ　アクロスプラザ野々市,921-8825,石川県野々市市三納1-77,アクロスプラザ野々市,36.5178969,136.6095829,076-294-1661,076-294-1660,,10:00〜19:00,年中無休,新規契約1050円・機種変更525円引き　割賦の方は粗品プレゼント
co100436,ofid0003,auショップ　アピタ松任,924-0817,石川県白山市幸明町280,,36.5158324,136.5769295,076-277-4466,,http://www.daiwawa.com,10:00〜21:00（受付は20:00まで）,年中無休,新規・機種変更の契約の方に、素敵なプレゼントをご用意しています
co100436,ofid0001,auショップ　イオンモールかほく,929-1126,石川県かほく市内日角タ25　,イオンかほく2F,36.7088796,136.7012118,076-289-1300,,http://www.daiwawa.com,10:00〜22:00（受付は20:00まで）,年中無休,新規・機種変更の契約の方に、素敵なプレゼントをご用意しています
co101289,ofid0001,auショップ　イオン松任,924-0841,石川県白山市平松町102-1,,36.5082009,136.5660948,076-274-3883,076-274-4344,,10:00〜21:00,年中無休,イオンサービスカウンターでお渡しするスタンプカードに、各店お買上げ毎にスタンプを捺印。スタンプ12個貯まるとトップバリュ商品をプレゼント
co101256,ofid0004,auショップ　イオン金沢,920-3126,石川県金沢市福久2丁目58番地,金沢サティ1F,36.6121661,136.6793874,076-258-7675,,http://www.hpt-au-kanazawasaty.com,10:00〜20:00（最終受付19:30）,イオン金沢の定休日,auへの新規ご加入、機種変更された方にプレゼント進呈。さらに毎週木曜日は、当店無料会員登録で携帯電話本体価格より1050円引き（一括払いのみ）
co101256,ofid0003,auショップ　イオン金沢示野,920-0058,石川県金沢市示野中町79街区1,イオン金沢SC内マックスバリュ棟,36.5760532,136.6146853,076-268-8838,076-268-8863,,10:00〜21:00（受付は20:30まで）,年中無休,新規1050円引き、機種変更525円引き（割賦対象外）割賦の場合は粗品プレゼント
co100436,ofid0002,auショップ　コンフォモール内灘,920-0277,石川県河北郡内灘町千鳥台４‐１,,36.6393336,136.6246157,076-238-8500,,http://www.daiwawa.com,10:00〜19:00,年中無休,新規・機種変更の契約の方に、素敵なプレゼントをご用意しています
co100436,ofid0004,auショップ　プラント−３川北,923-1278,石川県能美郡川北町朝日63,,36.4689741,136.4987435,076-277-2200,,http://www.daiwawa.com,10:00〜19:00,年中無休,新規・機種変更の契約の方に、素敵なプレゼントをご用意しています
co100344,ofid0002,auショップ　七尾ベイモール,926-0852,石川県七尾市小島町大開地1番78,,37.05309,136.956772,0767-53-2272,0767-53-2118,,10:00〜20:00,年中無休,新規契約・機種変更された方に、粗品プレゼント
co100821,ofid0003,auショップ　三口新町,920-0944,石川県金沢市三口新町4丁目28-1,,36.5431496,136.6787733,076-264-0110,076-264-0130,http://aumypremiershop.jp/H005137/,10:00〜19:00,年中無休,新規ご契約の方にau共通充電器をプレゼント
co100788,ofid0006,auショップ　北安江,920-0022,石川県金沢市北安江２丁目１６番５号,,36.585122,136.6486104,076-265-3419,076-265-3486,,10:00〜19:00,年中無休,新規・機種変更ご成約の方特典あり
co100788,ofid0005,auショップ　御経塚,921-8801,石川県野々市市御経塚2丁目149番地,,36.5481316,136.5972718,076-240-6665,076-240-6063,,10:00〜19:00,年中無休,新規・機種変更ご成約の方特典あり
co101158,ofid0001,auショップ　杜の里,920-1151,石川県金沢市田上町15街区2番,,36.5456644,136.6906209,076-232-8380,076-232-8480,,10:00〜19:00,年中無休,プレミアム・パスポートをご提示された方に粗品プレゼント！
co100348,ofid0001,auショップ　松任若宮,924-0805,石川県白山市若宮3丁目67,,36.5189071,136.5742158,076-276-8233,076-276-2263,,9:00〜19:30　土日祝10:00〜19:00,なし,情報誌（子育てにやさしい店）などをみたと一言言っていただければ小物プレゼント
co100251,ofid0003,auショップ　武蔵ヶ辻,920-0855,石川県金沢市武蔵町1-13,,36.5709659,136.654741,076-232-8551,076-232-8550,http://www.au.kddi.com/,10:00〜19:00,年中無休（年末年始除く）,新規、機種変更御契約時ACアダプターまたはmicroSDカードプレゼント
co100724,ofid0002,auショップ　石川県庁前,920-0345,石川県金沢市藤江北2丁目302,,36.5906654,136.622334,076-266-8100,076-266-8185,http://www.icp.gr.jp,10：00〜19：00,年中無休,パスポートご呈示で、携帯電話新規ご成約の方、QUOカード500円分プレゼント。さらに、当店無料会員登録で粗品プレゼント
co101312,ofid0001,auショップ　羽咋中央,925-0052,石川県羽咋市中央町ア173,,36.8932321,136.7780018,0767-22-7525,0767-22-7525,,10:00〜19:00,年中無休,新規ご契約、機種変更ご契約された方に、「ガソリンチケット」を進呈！！
co100344,ofid0001,auショップ　羽咋東,925-0027,石川県羽咋市鶴多町17番地1,,36.8961984,136.7917086,0767-22-8588,0767-22-8688,,10:00〜19:00,年中無休,新規契約・機種変更された方に、粗品プレゼント
co100724,ofid0001,auショップ　野々市,921-8803,石川県野々市市押越2-49,,36.540613,136.6081738,076-248-8050,076-248-6898,http://www.icp.gr.jp,10：00〜19：00,年中無休,パスポートご呈示で、携帯電話新規ご成約の方、QUOカード500円分プレゼント。さらに、当店無料会員登録で粗品プレゼント
co100720,ofid0004,auショップ七尾,926-0028,石川県七尾市藤野町ロ38,ナッピーモール1階,37.0308228,136.9683763,0800-700-2246,,http://www.sougo-idou.co.jp/,10:00〜19:00,年中無休,粗品プレゼント
co100720,ofid0002,auショップ久安,921-8164,石川県金沢市久安1丁目483番地,,36.5326532,136.6318524,0800-700-2252,,http://www.sougo-idou.co.jp/,10:00〜19:00,年中無休,粗品プレゼント
co100720,ofid0001,auショップ加賀,922-0334,石川県加賀市西島町チ58-2,,36.3084362,136.3674438,0800-700-2236,,http://www.sougo-idou.co.jp/,10:00〜19:00,年中無休,粗品プレゼント
co100720,ofid0006,auショップ小松,923-0801,石川県小松市園町ハ１３４−１,,36.4057168,136.4578701,0800-700-2238,,http://www.sougo-idou.co.jp/,10:00〜19:00,年中無休,粗品プレゼント
co100720,ofid0009,auショップ津幡,929-0342,石川県河北郡津幡町北中条2丁目2,,36.6624968,136.7278003,0800-700-2245,,http://www.sougo-idou.co.jp/,10:00〜19:00,年中無休,粗品プレゼント
co100720,ofid0007,auショップ神宮寺,920-0806,石川県金沢市神宮寺1丁目15番25号,,36.5832337,136.6675869,0800-700-2240,,http://www.sougo-idou.co.jp/,10:00〜19:00,年中無休,粗品プレゼント
co100720,ofid0008,auショップ神田,921-8027,石川県金沢市神田2-2-22,,36.5593446,136.637035,076-280-1711,076-280-1733,http://www.sougo-idou.co.jp/,10:00〜19:00,年中無休,粗品プレゼント
co100720,ofid0003,auショップ穴水,927-0053,石川県鳳珠郡穴水町此木11-45-1,,37.2457706,136.9000587,0800-700-2223,,http://www.sougo-idou.co.jp/,10:00〜19:00,年中無休,粗品プレゼント
co100737,ofid0019,Aコープ　かほく店,929-1126,石川県かほく市内日角1丁目24番1,,36.7129353,136.7003194,076-283-5222,076-283-5225,http://jacom-ishikawa.acoop.jp/,9:30〜22:00,年始,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0016,Aコープ　しお店,929-1425,石川県羽咋郡宝達志水町子浦レ228-1,,36.863909,136.7960375,0767-29-4565,0767-29-4566,http://jacom-ishikawa.acoop.jp/,9:30〜19:30,不定休,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0001,Aコープ　つばた店,929-0325,石川県河北郡津幡町字加賀爪ハ99,,36.6698571,136.729283,076-289-8600,076-289-8605,http://jacom-ishikawa.acoop.jp/,9:30〜22:00,年始,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0011,Aコープ　とぎ店,925-0453,石川県羽咋郡志賀町里本江242,,37.1444848,136.723563,0767-42-2288,0767-42-2289,http://jacom-ishikawa.acoop.jp/,10:00〜19:30,不定休,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0012,Aコープ　もんぜん店,927-2171,石川県輪島市門前町本市12の117番地の1,,37.2931474,136.7884048,0768-42-1000,0768-42-1896,http://jacom-ishikawa.acoop.jp/,9:30〜19:30,不定休,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0007,Aコープ　今江店,923-0964,石川県小松市今江町1-305,,36.3794411,136.4346594,0761-23-6150,0761-23-6151,http://jacom-ishikawa.acoop.jp/,9:30〜21:00,年始（※その他　月に1回）,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0021,Aコープ　住吉店,921-8813,石川県野々市市住吉町76-1,,36.5264203,136.6201452,076-294-8055,076-294-8056,http://jacom-ishikawa.acoop.jp/,7:00〜21:30（3月〜12月）　8:00〜21:30（1月〜2月）,不定休,毎週水曜日・毎週日曜日にポイント５倍※一部除外品あり※その他詳しくは店内にて掲示
co100737,ofid0014,Aコープ　内浦店,927-0602,石川県鳳珠郡能登町松波10字54-甲1,,37.3542794,137.2439713,0768-72-2060,0768-72-8048,http://jacom-ishikawa.acoop.jp/,9:30〜19:00,不定休,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0005,Aコープ　加賀野店,924-0044,石川県白山市西柏町1丁目2-1,,36.5036633,136.5324447,076-276-6171,076-276-9036,http://jacom-ishikawa.acoop.jp/,9:30〜20:00,年始（※その他　月に1回）,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0006,Aコープ　北安田店,924-0039,石川県白山市北安田西1丁目50番地,,36.5262277,136.5511589,076-274-7116,076-274-7005,http://jacom-ishikawa.acoop.jp/,9:30〜22:00,年始,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0018,Aコープ　国府店,923-0053,石川県小松市河田町ヌ48-1,,36.4193181,136.5105183,0761-47-1114,0761-47-1109,http://jacom-ishikawa.acoop.jp/,10:00〜20:00,年始（※その他2ヶ月に1回）,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0003,Aコープ　安原店,920-0374,石川県金沢市上安原町1丁目208番地,,36.5632798,136.5884916,076-269-7800,076-269-7765,http://jacom-ishikawa.acoop.jp/,9:30〜21:30,年始,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0009,Aコープ　山代店,922-0242,石川県加賀市山代温泉22-5-1,,36.2914992,136.362195,0761-77-0112,0761-77-0113,http://jacom-ishikawa.acoop.jp/,9:30〜21:00,年始,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0020,Aコープ　手取店,920-2321,石川県白山市吉野夏116番地,,36.3624059,136.617206,076-255-5566,076-255-5999,http://jacom-ishikawa.acoop.jp/,9:00〜20:00（4月〜8月）　9:30〜19:30（9月〜3月）,月1回（不定期）,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0004,Aコープ　新旭店,924-0015,石川県白山市新田町34-1,,36.5331496,136.5708518,076-276-1333,076-276-9037,http://jacom-ishikawa.acoop.jp/,9:30〜21:30,年始,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0010,Aコープ　桔梗ヶ丘店,922-0258,石川県加賀市山代温泉南町18-1,,36.2814641,136.3560182,0761-77-7810,0761-77-7811,http://jacom-ishikawa.acoop.jp/,9:30〜20:30,年始（※その他月に1回）,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0002,Aコープ　笠舞店,920-0965,石川県金沢市笠舞1丁目8-48,,36.5514237,136.6705405,076-231-5357,076-231-5314,http://jacom-ishikawa.acoop.jp/,9:30〜21:00,年始,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0008,Aコープ　粟津店,923-0303,石川県小松市島町ル100の1,,36.353592,136.4280969,0761-44-7221,0761-44-7222,http://jacom-ishikawa.acoop.jp/,9:30〜21:00,年始,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0013,Aコープ　能都店,927-0433,石川県鳳珠郡能登町字宇出津ト字16番地1,,37.309479,137.148816,0768-62-2229,0768-62-3779,http://jacom-ishikawa.acoop.jp/,9:30〜20:00,不定休,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co100737,ofid0017,Aコープ　蝶屋店,929-0202,石川県白山市西米光町チ100,,36.4933679,136.5010174,076-278-2225,076-278-4514,http://jacom-ishikawa.acoop.jp/,9:30〜21:00,不定休,毎週水曜日・毎週日曜日に、ポイント5倍　※一部除外品あり　※その他詳しくは店内にて掲示
co101483,ofid0001,Balloon shop プカリ,920-0373,石川県金沢市みどり３−６９,,36.5661903,136.5840475,090-5681-8600,,http://balloon-pukari.jp,8:00‾20:00,不定休,ご来店され、プレミアム・パスポートご提示のお客様には、選べるスティックバルーンをプレゼントさせていただきます。
co101108,ofid0001,BANKAN　イオン松任店,924-0841,石川県白山市平松町102-1,,36.5072307,136.5651722,076-274-4790,,,10:00〜21:00,年中無休,イオンサービスカウンターでお渡しするスタンプカードに、各店お買上げ毎にスタンプを捺印。スタンプ12個貯まるとトップバリュ商品をプレゼント
co101274,ofid0002,Beishin　おこめキッチン,920-0364,石川県金沢市松島1丁目1番地,,36.5620105,136.6060591,076-249-5005,,http://www.beishin-i.co.jp,10:00〜17:00,年中無休,毎日ポイント２倍進呈
co101274,ofid0001,Beishin　おにぎりキッチン,920-0364,石川県金沢市松島1丁目1番地,,36.5620105,136.6060591,076-249-0695,,http://www.beishin-i.co.jp,7:00〜15:00,年中無休,毎日ポイント２倍進呈
co101317,ofid0001,blume（ブルーメ）,921-8824,石川県野々市市新庄4丁目50-2,,36.5067088,136.6122041,076-272-8889,076-272-8889,,平日10:00〜19:00、土日・祝10:00〜20:00,水曜日,商品をお買上げ頂いたお客様には、会員カードのスタンプを、通常の２倍差し上げます。
co511828,ofid0008,CoCo壱番屋　フェアモール松任店,924-0817,石川県白山市幸明町189-2,,36.5185402,136.5785203,076-274-2788,,http://www.ichibanya.co.jp/,11：00〜24：00,なし,ご来店いただいたお客様一組に対してフライドポテト1品、１０３円ドリンク１杯の提供。
co511828,ofid0003,CoCo壱番屋　七尾藤橋店,926-0816,石川県七尾市藤橋町申46-1,,37.0398822,136.9542245,0767-53-6060,,http://www.ichibanya.co.jp/,11：00〜24：00,なし,ご来店いただいたお客様一組に対してフライドポテト1品、１０３円ドリンク１杯の提供。
co511828,ofid0010,CoCo壱番屋　加賀温泉駅前店,922-0423,石川県加賀市作見町リ82-1,,36.317718,136.3502788,0761-72-5355,,http://www.ichibanya.co.jp/,11：00〜24：00,なし,ご来店いただいたお客様一組に対してフライドポテト1品、１０３円ドリンク１杯の提供。
co511828,ofid0007,CoCo壱番屋　小松福乃宮店,923-0865,石川県小松市福乃宮町2丁目5番地,ｹｲｱｲﾋﾞﾙ1階,36.3919403,136.4531906,0761-23-5292,,http://www.ichibanya.co.jp/,11：00〜24：00,なし,ご来店いただいたお客様一組に対してフライドポテト1品、１０３円ドリンク１杯の提供。
co511828,ofid0006,CoCo壱番屋　石川津幡店,929-0342,石川県河北郡津幡町北中条六丁目81番地,,36.6611442,136.728078,076-289-0031,,http://www.ichibanya.co.jp/,11：00〜24：00,なし,ご来店いただいたお客様一組に対してフライドポテト1品、１０３円ドリンク１杯の提供。
co511828,ofid0005,CoCo壱番屋　羽咋石野町店,925-0026,石川県羽咋市石野町イ62-1,,36.8947043,136.79878,0767-22-5546,,http://www.ichibanya.co.jp/,11：00〜23：30,なし,ご来店いただいたお客様一組に対してフライドポテト1品、１０３円ドリンク１杯の提供。
co511828,ofid0004,CoCo壱番屋　金沢もりの里店,920-1167,石川県金沢市もりの里三丁目230番地,,36.5582397,136.6832924,076-210-3221,,http://www.ichibanya.co.jp/,11：00〜24：00,なし,ご来店いただいたお客様一組に対してフライドポテト1品、１０３円ドリンク１杯の提供。
co511828,ofid0002,CoCo壱番屋　金沢小坂店,920-0811,石川県金沢市小坂町北179-2,,36.5967201,136.6795534,0120-014-104,,http://www.ichibanya.co.jp/,11：00〜24：00,なし,ご来店いただいたお客様一組に対してフライドポテト1品、１０３円ドリンク１杯の提供。
co511828,ofid0001,CoCo壱番屋　金沢有松店,921-8161,石川県金沢市有松2-5-5,,36.5419835,136.6398542,076-243-9700,,http://www.ichibanya.co.jp/,11：00〜26：00,なし,ご来店いただいたお客様一組に対してフライドポテト1品、１０３円ドリンク１杯の提供。
